Date,Value
2018-01-01,12832833.56
2018-02-01,16056829.34
2018-03-01,13099333.26
2018-04-01,14968400.32
2018-05-01,16812464.11
2018-06-01,16975950.21
2018-07-01,17058958.8
2018-08-01,17916149.05
2018-09-01,15628816.4
2018-10-01,11090127.87
2018-11-01,10716934.64
2018-12-01,16114211.79
2019-01-01,17899759.41
2019-02-01,19565847.12
2019-03-01,16906758.63
2019-04-01,15526811.07
2019-05-01,18352287.17
2019-06-01,16905831.18
2019-07-01,17287306.77
2019-08-01,18272543.91
2019-09-01,17692524.71
2019-10-01,18615684.19
2019-11-01,12984791.37
2019-12-01,14963334.48
2020-01-01,16129591.02
2020-02-01,19302168.24
2020-03-01,25565617.58
2020-04-01,25998218.47
2020-05-01,20878618.99
2020-06-01,12604602.85
2020-07-01,6477330.84
2020-08-01,6910284.69
2020-09-01,9383805.25
2020-10-01,7075038.57
2020-11-01,7489881.01
2020-12-01,8106874.76
2021-01-01,9821905.95
2021-02-01,9687030.54
2021-03-01,11567899.72
2021-04-01,11147146.85
2021-05-01,11259418.36
2021-06-01,13193537.74
2021-07-01,12929817.37
2021-08-01,13188188.59
2021-09-01,20699122.12
2021-10-01,20291976.74
2021-11-01,12048042.53
2021-12-01,9196886.18
2022-01-01,10432461.07
2022-02-01,11400595.31
2022-03-01,12047221.84
2022-04-01,15965839.37
2022-05-01,20011159.8
2022-06-01,17863904.62
2022-07-01,18113009.48
2022-08-01,23669545.53
2022-09-01,26243042.92
2022-10-01,27559289.34
2022-11-01,29694590.26
2022-12-01,30858062.71
2023-01-01,25819210.54
2023-02-01,18389891.0
2023-03-01,18280406.14
2023-04-01,16916827.67
2023-05-01,16397083.72
2023-06-01,13059091.83
2023-07-01,10580390.08
2023-08-01,15474809.89
2023-09-01,18027471.82
2023-10-01,21501472.98
2023-11-01,19472090.58
2023-12-01,15682054.36
2024-01-01,14940028.34
2024-02-01,16016314.19
2024-03-01,18398943.75
2024-04-01,16190930.08
2024-05-01,13908908.99
2024-06-01,16006168.32
2024-07-01,16450486.75
2024-08-01,16298029.43
2024-09-01,15697418.47
2024-10-01,11870362.66
2024-11-01,10198434.93
2024-12-01,8708984.75
2025-01-01,10243577.98
2025-02-01,13212970.05
2025-03-01,12691168.96
2025-04-01,11411180.67
2025-05-01,11999528.73
2025-06-01,13478732.22
2025-07-01,18574280.67
2025-08-01,22085417.32
2025-09-01,19340881.53
2025-10-01,16094430.72
2025-11-01,12206416.14
2025-12-01,10968514.59
2026-01-01,13307000.1
2026-02-01,12664057.64
2026-03-01,15069083.84
2026-04-01,6453557.98
2026-05-01,4417929.36
2026-06-01,6204058.41
