Date,Value
2024-04-01,42416547.35
2024-04-02,42961730.46
2024-04-03,40455256.56
2024-04-04,40711885.92
2024-04-05,36567894.32
2024-04-06,40281167.519999996
2024-04-07,37378064.78
2024-04-08,36440680.86
2024-04-09,36309952.25
2024-04-10,37399739.81
2024-04-11,38065877.17
2024-04-12,37576155.22
2024-04-13,33676152.84
2024-04-14,36763874.44
2024-04-15,39066284.47
2024-04-16,37888538.16
2024-04-17,35413880.84
2024-04-18,34152337.76
2024-04-19,35010652.81
2024-04-20,35413057.21
2024-04-21,35739796.39
2024-04-22,40294685.19
2024-04-23,42694002.34
2024-04-24,44081673.81
2024-04-25,44954057.62
2024-04-26,43897811.25
2024-04-27,45956829.56
2024-04-28,48904906.34
2024-04-29,46834380.06
2024-04-30,44264224.19
2024-05-01,45344052.25
2024-05-02,46145260.91
2024-05-03,44064953.96
2024-05-04,45254928.01
2024-05-05,46833166.97
2024-05-06,45744979.74
2024-05-07,44508496.1
2024-05-08,46198498.7
2024-05-09,42116201.12
2024-05-10,43228199.2
2024-05-11,42571669.95
2024-05-12,42704981.28
2024-05-13,41671835.85
2024-05-14,41404837.29
2024-05-15,44791546.24
2024-05-16,43222401.16
2024-05-17,44274348.04
2024-05-18,45148006.32
2024-05-19,45531410.41
2024-05-20,44073445.22
2024-05-21,45520676.1
2024-05-22,41165257.26
2024-05-23,43308489.51
2024-05-24,43636820.019999996
2024-05-25,42802446.69
2024-05-26,41368944.94
2024-05-27,42895218.67
2024-05-28,43710751.269999996
2024-05-29,43301247.21
2024-05-30,43246241.62
2024-05-31,38934509.42
2024-06-01,36885995.08
2024-06-02,39399464.45
2024-06-03,39676848.67
2024-06-04,38548122.08
2024-06-05,36702862.129999995
2024-06-06,37445980.480000004
2024-06-07,35297697.5
2024-06-08,37344365.01
2024-06-09,36078925.84
2024-06-10,36646001.07
2024-06-11,35054464.269999996
2024-06-12,36899300.42
2024-06-13,34799300.42
2024-06-14,31660480.740000002
2024-06-15,33586211.67
2024-06-16,29165881.990000002
2024-06-17,32465881.990000002
2024-06-18,34689454.33
2024-06-19,38409590.91
2024-06-20,34885288.79
2024-06-21,37074729.9
2024-06-22,37590258.91
2024-06-23,35057414.2
2024-06-24,35115153.46
2024-06-25,36476755.18
2024-06-26,36733989.58
2024-06-27,37896069.84
2024-06-28,37134392.980000004
2024-06-29,38906695.019999996
2024-06-30,38187373.4
2024-07-01,35245213.3
2024-07-02,39397760.59
2024-07-03,39737957.58
2024-07-04,37889603.92
2024-07-05,39634915.2
2024-07-06,36904913.99
2024-07-07,38974147.8
2024-07-08,40686943.49
2024-07-09,40371943.480000004
2024-07-10,42354985.980000004
2024-07-11,43596845.51
2024-07-12,42674086.25
2024-07-13,40587759.1
2024-07-14,40196961.78
2024-07-15,42355543.879999995
2024-07-16,43242354.15
2024-07-17,42246941.63
2024-07-18,41841017.32
2024-07-19,41135732.19
2024-07-20,41680587.89
2024-07-21,38642550.68
2024-07-22,37995764.7
2024-07-23,37503252.480000004
2024-07-24,36606903.3
2024-07-25,37404090.07
2024-07-26,40865296.730000004
2024-07-27,42027861.31
2024-07-28,45731648.28
2024-07-29,46143447.269999996
2024-07-30,45984050.88
2024-07-31,41573830.1
2024-08-01,41873830.1
2024-08-02,42692426.18
2024-08-03,39926975.6
2024-08-04,36213082.07
2024-08-05,35928816.8
2024-08-06,36727223.78
2024-08-07,36510417.93
2024-08-08,36360550.6
2024-08-09,36296427.18
2024-08-10,37032542.59
2024-08-11,40446039.83
2024-08-12,40479891.6
2024-08-13,41974426.12
2024-08-14,43638322.43
2024-08-15,41363322.22
2024-08-16,41402367.83
2024-08-17,39618016.88
2024-08-18,40700791.3
2024-08-19,41756668.95
2024-08-20,39759424.41
2024-08-21,40001486.59
2024-08-22,35090563.04
2024-08-23,34645215.39
2024-08-24,36860116.46
2024-08-25,38309516.12
2024-08-26,39297500.370000005
2024-08-27,38697500.370000005
2024-08-28,36736787.870000005
2024-08-29,34493663.22
2024-08-30,34782713.84
2024-08-31,36744459.9
2024-09-01,37829896.09
2024-09-02,42434924.870000005
2024-09-03,38460993.230000004
2024-09-04,38884679.64
2024-09-05,39883740.59
2024-09-06,40166627.55
2024-09-07,39198230.96
2024-09-08,40454625.42
2024-09-09,40269881.1
2024-09-10,42636295.05
2024-09-11,42916730.17
2024-09-12,42730861.17
2024-09-13,44740870.49
2024-09-14,45620696.68
2024-09-15,46589690.81
2024-09-16,45353475.269999996
2024-09-17,43924872.11
2024-09-18,44290610.49
2024-09-19,41840211.43
2024-09-20,39098010.39
2024-09-21,38169550.519999996
2024-09-22,39248010.14
2024-09-23,40124613.26
2024-09-24,42240972.72
2024-09-25,41824805.01
2024-09-26,40613701.11
2024-09-27,40943985.36
2024-09-28,43138238.15
2024-09-29,44005665.62
2024-09-30,41641980.61
2024-10-01,44557065.78
2024-10-02,42594820.08
2024-10-03,44546641.15
2024-10-04,44209111.37
2024-10-05,43609111.37
2024-10-06,43788476.71
2024-10-07,42806160.75
2024-10-08,42763377.46
2024-10-09,45229230.57
2024-10-10,50029230.57
2024-10-11,48326067.64
2024-10-12,47289226.53
2024-10-13,50378085.07
2024-10-14,51496615.53
2024-10-15,48866720.57
2024-10-16,46871538.730000004
2024-10-17,46802741.11
2024-10-18,45602741.11
2024-10-19,49328289.32
