Date,Value
2018-01-01,1474136.63
2018-01-02,712499.37
2018-01-03,458996.26
2018-01-04,527364.96
2018-01-05,407376.66
2018-01-06,471834.42
2018-01-07,478674.17
2018-01-08,403983.8
2018-01-09,388320.41
2018-01-10,458456.28
2018-01-11,424126.47
2018-01-12,374448.21
2018-01-13,332781.1
2018-01-14,462929.15
2018-01-15,506714.11
2018-01-16,600636.92
2018-01-17,590696.57
2018-01-18,582324.96
2018-01-19,644157.39
2018-01-20,587732.85
2018-01-21,555601.81
2018-01-22,663065.47
2018-01-23,608522.56
2018-01-24,599751.44
2018-01-25,610225.49
2018-01-26,604383.6
2018-01-27,597545.6
2018-01-28,589616.05
2018-01-29,668041.98
2018-01-30,625276.45
2018-01-31,670814.19
2018-02-01,685324.57
2018-02-02,727629.49
2018-02-03,776697.15
2018-02-04,757051.61
2018-02-05,780918.06
2018-02-06,796747.02
2018-02-07,826139.34
2018-02-08,811287.51
2018-02-09,772306.74
2018-02-10,781196.74
2018-02-11,727537.3
2018-02-12,783119.16
2018-02-13,790137.98
2018-02-14,771019.41
2018-02-15,752855.77
2018-02-16,753889.9
2018-02-17,737501.84
2018-02-18,688037.1
2018-02-19,726868.51
2018-02-20,689410.62
2018-02-21,736061.57
2018-02-22,709931.38
2018-02-23,662844.48
2018-02-24,643265.11
2018-02-25,726674.67
2018-02-26,695595.72
2018-02-27,649760.71
2018-02-28,671165.76
2018-03-01,670025.8
2018-03-02,655501.64
2018-03-03,612523.35
2018-03-04,605449.37
2018-03-05,586240.38
2018-03-06,581186.22
2018-03-07,564201.19
2018-03-08,527378.89
2018-03-09,523850.59
2018-03-10,516833.96
2018-03-11,582269.37
2018-03-12,579080.05
2018-03-13,541410.59
2018-03-14,538520.47
2018-03-15,547531.42
2018-03-16,589001.47
2018-03-17,587002.63
2018-03-18,582296.96
2018-03-19,577126.74
2018-03-20,633123.08
2018-03-21,592078.66
2018-03-22,674081.52
2018-03-23,663381.29
2018-03-24,654695.01
2018-03-25,660663.47
2018-03-26,758373.49
2018-03-27,825519.3
2018-03-28,821450.25
2018-03-29,840208.28
2018-03-30,785857.6
2018-03-31,862453.89
2018-04-01,871295.01
2018-04-02,814960.5
2018-04-03,798842.84
2018-04-04,832788.98
2018-04-05,894187.78
2018-04-06,868882.1
2018-04-07,906956.26
2018-04-08,910452.16
2018-04-09,875623.33
2018-04-10,831470.03
2018-04-11,803872.8
2018-04-12,799859.27
2018-04-13,833980.04
2018-04-14,806188.08
2018-04-15,837899.04
2018-04-16,831877.89
2018-04-17,869241.51
2018-04-18,833825.27
2018-04-19,779992.59
2018-04-20,736398.56
2018-04-21,800784.59
2018-04-22,829246.76
2018-04-23,775718.42
2018-04-24,859407.21
2018-04-25,803935.68
2018-04-26,773321.14
2018-04-27,746545.14
2018-04-28,775094.26
2018-04-29,790599.46
2018-04-30,806931.95
2018-05-01,872218.32
2018-05-02,824743.69
2018-05-03,823648.65
2018-05-04,871112.09
2018-05-05,931602.6
2018-05-06,871485.73
2018-05-07,917602.49
2018-05-08,916161.99
2018-05-09,913421.51
2018-05-10,886760.14
2018-05-11,886632.05
2018-05-12,845185.21
2018-05-13,884504.2
2018-05-14,866131.1
2018-05-15,834248.05
2018-05-16,825546.88
2018-05-17,842108.53
2018-05-18,826260.04
2018-05-19,813998.68
2018-05-20,799708.41
2018-05-21,748110.07
2018-05-22,794907.44
2018-05-23,805358.94
2018-05-24,769540.78
2018-05-25,825325.91
2018-05-26,827677.09
2018-05-27,774275.61
2018-05-28,860290.59
2018-05-29,913315.74
2018-05-30,900681.74
2018-05-31,868470.48
2018-06-01,894281.73
2018-06-02,898639.13
2018-06-03,840660.4
2018-06-04,839430.27
2018-06-05,850915.1
2018-06-06,796015.8
2018-06-07,883684.53
2018-06-08,865001.86
2018-06-09,891275.09
2018-06-10,882266.5
2018-06-11,825344.92
2018-06-12,851357.09
2018-06-13,862407.08
2018-06-14,806766.99
2018-06-15,769418.44
2018-06-16,768708.79
2018-06-17,774831.93
2018-06-18,736459.77
2018-06-19,739975.72
2018-06-20,856635.66
2018-06-21,818652.44
2018-06-22,794639.2
2018-06-23,841895.77
2018-06-24,787579.45
2018-06-25,838345.48
2018-06-26,914562.2
2018-06-27,855557.78
2018-06-28,837259.25
2018-06-29,812503.39
2018-06-30,820746.45
2018-07-01,816706.64
2018-07-02,839852.05
2018-07-03,817930.62
2018-07-04,772103.02
2018-07-05,809574.39
2018-07-06,900361.04
2018-07-07,858761.31
2018-07-08,803357.17
2018-07-09,820133.33
2018-07-10,792634.29
2018-07-11,741496.45
2018-07-12,739910.8
2018-07-13,748077.26
2018-07-14,771771.73
2018-07-15,806888.05
2018-07-16,754830.66
2018-07-17,782497.97
2018-07-18,732014.14
2018-07-19,747376.34
2018-07-20,725269.31
2018-07-21,740937.61
2018-07-22,693135.12
2018-07-23,675828.51
2018-07-24,679335.73
2018-07-25,731085.21
2018-07-26,728122.39
2018-07-27,748393.37
2018-07-28,803025.08
2018-07-29,760941.02
2018-07-30,711848.01
2018-07-31,752742.04
2018-08-01,876738.88
2018-08-02,842216.18
2018-08-03,848616.91
2018-08-04,793867.4
2018-08-05,742650.12
2018-08-06,730598.05
2018-08-07,816214.67
2018-08-08,807069.78
