Date,Value
2018-01-01,18732496.65
2018-01-02,16886556.7
2018-01-03,15532983.15
2018-01-04,15447397.7
2018-01-05,15021445.43
2018-01-06,14506486.05
2018-01-07,13263694.93
2018-01-08,12202610.16
2018-01-09,11407848.56
2018-01-10,11920040.42
2018-01-11,11248615.72
2018-01-12,10433953.14
2018-01-13,9686151.26
2018-01-14,10587915.11
2018-01-15,11479936.05
2018-01-16,11821284.1
2018-01-17,12287403.09
2018-01-18,11878942.77
2018-01-19,12967897.68
2018-01-20,11758411.12
2018-01-21,11549822.13
2018-01-22,12665754.04
2018-01-23,12665754.04
2018-01-24,12312952.29
2018-01-25,12740388.95
2018-01-26,12504948.77
2018-01-27,11824705.77
2018-01-28,12257690.04
2018-01-29,13475617.53
2018-01-30,13063207.23
2018-01-31,13684929.85
2018-02-01,14200933.34
2018-02-02,15065750.86
2018-02-03,16008983.43
2018-02-04,14514172.18
2018-02-05,13961411.01
2018-02-06,14207210.55
2018-02-07,15131661.77
2018-02-08,14954760.84
2018-02-09,14711426.94
2018-02-10,15612580.69
2018-02-11,15147386.28
2018-02-12,16520816.75
2018-02-13,17406944.14
2018-02-14,17453406.97
2018-02-15,17428599.95
2018-02-16,17867377.15
2018-02-17,18377594.01
2018-02-18,17267165.68
2018-02-19,18535644.37
2018-02-20,18099043.46
2018-02-21,17478169.98
2018-02-22,16177833.41
2018-02-23,16177833.41
2018-02-24,14869577.95
2018-02-25,16468869.24
2018-02-26,16008863.93
2018-02-27,14938162.02
2018-02-28,14999041.09
2018-03-01,15141800.93
2018-03-02,14704986.16
2018-03-03,14704986.16
2018-03-04,14515329.5
2018-03-05,13578720.08
2018-03-06,13768439.65
2018-03-07,12903685.03
2018-03-08,11734195.38
2018-03-09,12207472.19
2018-03-10,12042352.08
2018-03-11,12251947.45
2018-03-12,12785216.47
2018-03-13,11754108.94
2018-03-14,10922111.66
2018-03-15,11216317.56
2018-03-16,11631344.43
2018-03-17,10924489.21
2018-03-18,11028151.59
2018-03-19,10470251.68
2018-03-20,11910851.06
2018-03-21,11704130.14
2018-03-22,12495394.58
2018-03-23,12484645.28
2018-03-24,12508911.36
2018-03-25,12978477.18
2018-03-26,14079904.8
2018-03-27,15504094.05
2018-03-28,15761548.58
2018-03-29,16501343.55
2018-03-30,15495999.09
2018-03-31,16368125.36
2018-04-01,16853019.47
2018-04-02,16122734.7
2018-04-03,14517883.21
2018-04-04,15282629.83
2018-04-05,17065413.77
2018-04-06,15996070.48
2018-04-07,16449484.07
2018-04-08,16300352.65
2018-04-09,14998556.83
2018-04-10,14826278.92
2018-04-11,14100082.54
2018-04-12,14841814.75
2018-04-13,15054051.84
2018-04-14,14251383.93
2018-04-15,15548644.8
2018-04-16,15474965.95
2018-04-17,15289636.68
2018-04-18,14337057.43
2018-04-19,14337057.43
2018-04-20,14034177.89
2018-04-21,13116570.0
2018-04-22,13831891.28
2018-04-23,13250203.29
2018-04-24,15314166.91
2018-04-25,14675398.89
2018-04-26,14709439.34
2018-04-27,14003269.73
2018-04-28,14826354.36
2018-04-29,15058460.95
2018-04-30,14584957.69
2018-05-01,16403511.78
2018-05-02,16138647.86
2018-05-03,15855637.85
2018-05-04,16609798.73
2018-05-05,18418289.11
2018-05-06,17283626.13
2018-05-07,18283039.31
2018-05-08,19031149.39
2018-05-09,19390404.5
2018-05-10,19368132.28
2018-05-11,18447121.57
2018-05-12,17464911.02
2018-05-13,18409590.26
2018-05-14,17356512.42
2018-05-15,17728516.99
2018-05-16,16751067.85
2018-05-17,16809600.82
2018-05-18,16068264.88
2018-05-19,16372018.69
2018-05-20,15415382.52
2018-05-21,14375475.54
2018-05-22,15121579.16
2018-05-23,15581634.79
2018-05-24,14913071.92
2018-05-25,16547227.64
2018-05-26,16425004.04
2018-05-27,15573288.2
2018-05-28,16357438.9
2018-05-29,16714473.71
2018-05-30,16931730.06
2018-05-31,15040239.34
2018-06-01,15642740.31
2018-06-02,16604559.29
2018-06-03,15751818.2
2018-06-04,16268192.8
2018-06-05,16147604.56
2018-06-06,14871433.43
2018-06-07,17026278.55
2018-06-08,16262343.32
2018-06-09,17030587.07
2018-06-10,17464483.37
2018-06-11,16249971.24
2018-06-12,17361424.8
2018-06-13,16889468.88
2018-06-14,16889468.88
2018-06-15,17117342.44
2018-06-16,16719386.12
2018-06-17,15731458.16
2018-06-18,15436686.18
2018-06-19,15730061.81
2018-06-20,17809605.28
2018-06-21,17703584.26
2018-06-22,17902354.85
2018-06-23,17458734.48
2018-06-24,17458734.48
2018-06-25,18033654.61
2018-06-26,18590686.52
2018-06-27,18290819.8
2018-06-28,18631790.46
2018-06-29,17717082.17
2018-06-30,18486149.91
2018-07-01,18514089.27
2018-07-02,19047408.6
2018-07-03,18817245.57
2018-07-04,17690683.86
2018-07-05,18335490.11
2018-07-06,19327443.6
2018-07-07,19136560.43
2018-07-08,17967976.5
2018-07-09,18584679.86
2018-07-10,16679873.59
2018-07-11,16269086.05
2018-07-12,16125514.81
2018-07-13,16992005.42
2018-07-14,17256347.27
2018-07-15,18572420.96
2018-07-16,17811989.13
2018-07-17,17943005.9
2018-07-18,16612597.74
2018-07-19,17094114.19
2018-07-20,16122149.73
2018-07-21,16794882.72
2018-07-22,15551745.68
2018-07-23,14136877.92
2018-07-24,14369437.36
2018-07-25,15371932.52
2018-07-26,15063241.18
2018-07-27,15784468.6
2018-07-28,17379652.65
2018-07-29,16446974.36
2018-07-30,16103393.45
2018-07-31,16924433.88
2018-08-01,18674309.58
2018-08-02,16864007.74
2018-08-03,17731328.61
2018-08-04,17731328.61
2018-08-05,16229774.7
2018-08-06,15975609.75
2018-08-07,17905053.17
2018-08-08,18330690.95
2018-08-09,18040812.46
2018-08-10,17755022.33
2018-08-11,16952725.53
2018-08-12,17616111.86
2018-08-13,17861873.62
2018-08-14,17618608.91
2018-08-15,17766784.27
2018-08-16,17547156.67
2018-08-17,18715671.43
2018-08-18,19574501.05
2018-08-19,18938802.45
2018-08-20,19480657.06
2018-08-21,19568890.53
2018-08-22,19249110.28
2018-08-23,19232926.59
2018-08-24,17309068.51
2018-08-25,17356097.44
2018-08-26,16809468.89
2018-08-27,17190254.04
2018-08-28,18119523.26
2018-08-29,17157119.33
2018-08-30,17435179.27
2018-08-31,18662151.51
2018-09-01,19303907.19
2018-09-02,19592169.21
2018-09-03,19701794.32
2018-09-04,20463276.55
2018-09-05,19738602.29
2018-09-06,20083724.2
2018-09-07,19511030.63
2018-09-08,19216912.78
2018-09-09,18292291.72
2018-09-10,16568311.21
2018-09-11,17732850.78
2018-09-12,17649416.44
2018-09-13,16403392.32
