Date,Value
2018-01-01,71848557.55
2018-01-02,72416030.55
2018-01-03,72015558.31
2018-01-04,71460507.68
2018-01-05,69720073.08
2018-01-06,67756620.64
2018-01-07,69707235.59
2018-01-08,72470745.68
2018-01-09,70933754.97
2018-01-10,73051144.24
2018-01-11,74738788.5
2018-01-12,74639981.88
2018-01-13,76406456.31
2018-01-14,75201347.47
2018-01-15,75635834.99
2018-01-16,75441272.27
2018-01-17,75819201.81
2018-01-18,75142745.24
2018-01-19,76940146.71
2018-01-20,76778831.94
2018-01-21,76330406.16
2018-01-22,76666778.95
2018-01-23,78141582.31
2018-01-24,76564852.6
2018-01-25,75474859.85
2018-01-26,75845373.78
2018-01-27,76278207.12
2018-01-28,75595926.17
2018-01-29,73044672.01
2018-01-30,74383728.66
2018-01-31,76532705.34
2018-02-01,78260491.15
2018-02-02,73376673.31
2018-02-03,72762668.28
2018-02-04,71540193.23
2018-02-05,72952475.84
2018-02-06,72255954.79
2018-02-07,73441514.96
2018-02-08,76243147.59
2018-02-09,76043993.32
2018-02-10,74252623.81
2018-02-11,74356978.1
2018-02-12,73372893.21
2018-02-13,72884212.69
2018-02-14,73252336.44
2018-02-15,73371912.04
2018-02-16,73040187.43
2018-02-17,75599580.58
2018-02-18,73092719.95
2018-02-19,72497049.71
2018-02-20,73832464.57
2018-02-21,73743168.13
2018-02-22,74185769.49
2018-02-23,72662484.27
2018-02-24,76022740.14
2018-02-25,77654134.62
2018-02-26,75957665.76
2018-02-27,74784873.99
2018-02-28,76980961.38
2018-03-01,74054425.7
2018-03-02,74525236.88
2018-03-03,75986183.77
2018-03-04,76568890.66
2018-03-05,77374571.4
2018-03-06,78723792.35
2018-03-07,78895139.4
2018-03-08,81061834.5
2018-03-09,79189307.53
2018-03-10,78187491.63
2018-03-11,80823199.05
2018-03-12,80065899.54
2018-03-13,81694664.88
2018-03-14,86150435.92
2018-03-15,87115362.1
2018-03-16,83777453.95
2018-03-17,82658829.98
2018-03-18,79040578.69
2018-03-19,77461389.66
2018-03-20,78251968.57
2018-03-21,77453980.28
2018-03-22,76940863.8
2018-03-23,77250938.9
2018-03-24,77408731.4
2018-03-25,79370579.95
2018-03-26,80655953.07
2018-03-27,78652698.71
2018-03-28,75823101.59
2018-03-29,76685698.79
2018-03-30,75292461.73
2018-03-31,75502987.94
2018-04-01,75044529.92
2018-04-02,72879570.79
2018-04-03,71170799.08
2018-04-04,71979895.16
2018-04-05,72208510.89
2018-04-06,73426111.34
2018-04-07,71978454.8
2018-04-08,70676791.11
2018-04-09,71738982.9
2018-04-10,70743853.1
2018-04-11,69772964.26
2018-04-12,68268290.55
2018-04-13,67125029.44
2018-04-14,68117429.47
2018-04-15,69420653.06
2018-04-16,71998733.24
2018-04-17,68430290.93
2018-04-18,65470450.67
2018-04-19,69696505.23
2018-04-20,69810463.98
2018-04-21,68706092.74
2018-04-22,70358866.28
2018-04-23,70638832.02
2018-04-24,66483235.91
2018-04-25,68835845.24
2018-04-26,68639043.35
2018-04-27,70566731.92
2018-04-28,71308545.89
2018-04-29,71919009.75
2018-04-30,74698451.88
2018-05-01,76545222.05
2018-05-02,77650989.64
2018-05-03,76236008.68
2018-05-04,73962745.33
2018-05-05,72257898.45
2018-05-06,71837814.58
2018-05-07,71818567.74
2018-05-08,68753492.7
2018-05-09,70174675.43
2018-05-10,71771356.45
2018-05-11,73059258.08
2018-05-12,74720019.71
2018-05-13,72364190.0
2018-05-14,71169868.18
