Date,Value
2018-01-01,5194729.51
2018-01-08,6007484.47
2018-01-15,7282172.09
2018-01-22,7568265.9
2018-01-29,10215507.07
2018-02-05,10345021.44
2018-02-12,10051633.24
2018-02-19,10782418.53
2018-02-26,10738092.45
2018-03-05,9556798.65
2018-03-12,9725169.69
2018-03-19,12409404.8
2018-03-26,13508967.04
2018-04-02,12627190.38
2018-04-09,10034595.1
2018-04-16,8693652.42
2018-04-23,7534412.45
2018-04-30,7966667.96
2018-05-07,8517702.99
2018-05-14,9107881.33
2018-05-21,9204242.1
2018-05-28,10416191.56
2018-06-04,9382303.05
2018-06-11,8806300.14
2018-06-18,7703462.71
2018-06-25,8012884.55
2018-07-02,8099762.12
2018-07-09,7344961.5
2018-07-16,8114038.25
2018-07-23,8529978.05
2018-07-30,8505763.15
2018-08-06,9985653.13
2018-08-13,8441227.87
2018-08-20,7309130.23
2018-08-27,8320433.83
2018-09-03,9581767.32
2018-09-10,8070497.43
2018-09-17,8709678.78
2018-09-24,9455736.61
2018-10-01,11116818.06
2018-10-08,10596860.97
2018-10-15,8496756.97
2018-10-22,8856366.12
2018-10-29,7731319.35
2018-11-05,8375799.42
2018-11-12,7025943.22
2018-11-19,8069702.26
2018-11-26,7209130.34
2018-12-03,7240253.21
2018-12-10,6947527.23
2018-12-17,5009746.18
2018-12-24,4486682.83
2018-12-31,4277734.41
2019-01-07,4530856.15
2019-01-14,6765189.17
2019-01-21,6254220.21
2019-01-28,6124109.18
2019-02-04,5091870.42
2019-02-11,7253695.45
2019-02-18,8123167.43
2019-02-25,8964761.17
2019-03-04,7354299.15
2019-03-11,8960087.83
2019-03-18,7156971.64
2019-03-25,6786899.84
2019-04-01,6001875.75
2019-04-08,5091687.13
2019-04-15,6498838.19
2019-04-22,8043193.35
2019-04-29,7459969.74
2019-05-06,9086632.5
2019-05-13,8640152.99
2019-05-20,8425671.34
2019-05-27,6594975.22
2019-06-03,6823011.39
2019-06-10,6807073.9
2019-06-17,8082361.77
2019-06-24,8827627.98
2019-07-01,7652376.86
2019-07-08,6599858.85
2019-07-15,8655996.14
2019-07-22,10105172.16
2019-07-29,8745820.94
2019-08-05,7740132.33
2019-08-12,8864825.97
2019-08-19,7154207.7
2019-08-26,8077901.43
2019-09-02,7474288.09
2019-09-09,7346978.74
2019-09-16,7793010.76
2019-09-23,9575095.64
2019-09-30,10808476.27
2019-10-07,9548365.73
2019-10-14,7775857.55
2019-10-21,6931337.25
2019-10-28,8647686.43
2019-11-04,9426069.35
2019-11-11,7535779.07
2019-11-18,7223162.02
2019-11-25,7375792.37
2019-12-02,7960197.53
2019-12-09,6344510.49
2019-12-16,5915224.59
2019-12-23,6683250.05
2019-12-30,7865961.76
2020-01-06,7664624.02
2020-01-13,5089815.45
2020-01-20,8521986.33
2020-01-27,6713303.67
2020-02-03,6749815.14
2020-02-10,7173932.58
2020-02-17,7686538.65
2020-02-24,7078891.7
2020-03-02,6597873.96
2020-03-09,7690194.83
2020-03-16,7926378.96
2020-03-23,6755534.3
2020-03-30,5588198.46
2020-04-06,4609448.2
2020-04-13,4522567.06
2020-04-20,5399077.34
2020-04-27,5499247.07
2020-05-04,5445852.86
2020-05-11,3786191.07
2020-05-18,4157837.13
2020-05-25,4455636.28
2020-06-01,5138061.84
2020-06-08,5984862.65
2020-06-15,8749040.37
2020-06-22,8876519.57
2020-06-29,7957078.64
2020-07-06,9196598.14
2020-07-13,8113064.13
2020-07-20,8911407.39
2020-07-27,8806992.9
2020-08-03,8868270.92
2020-08-10,9303529.43
2020-08-17,8408221.61
2020-08-24,7874682.11
2020-08-31,7315160.33
2020-09-07,6900454.25
2020-09-14,6002516.37
2020-09-21,6465423.98
2020-09-28,6109436.88
2020-10-05,8341047.35
2020-10-12,8151148.08
2020-10-19,7366672.1
2020-10-26,9344800.47
2020-11-02,7748268.61
2020-11-09,5777288.15
2020-11-16,6354755.66
2020-11-23,5737528.46
2020-11-30,5828765.76
2020-12-07,6297416.88
2020-12-14,6675368.93
2020-12-21,7267241.95
2020-12-28,8061015.14
2021-01-04,7364544.4
2021-01-11,6603629.13
2021-01-18,7076332.64
