Date,Value
2018-01-01,5236695.09
2018-01-02,4308040.92
2018-01-03,3646466.53
2018-01-04,3193441.74
2018-01-05,2951106.71
2018-01-06,2899224.45
2018-01-07,3130831.87
2018-01-08,3418538.48
2018-01-09,3125895.74
2018-01-10,3104440.25
2018-01-11,3293652.68
2018-01-12,3115335.23
2018-01-13,3115231.14
2018-01-14,3064384.98
2018-01-15,2994652.49
2018-01-16,2999994.95
2018-01-17,3062338.06
2018-01-18,3067814.23
2018-01-19,3237801.58
2018-01-20,3138741.92
2018-01-21,3114743.64
2018-01-22,3215447.67
2018-01-23,3375746.84
2018-01-24,3257515.36
2018-01-25,3212017.6
2018-01-26,3286079.5
2018-01-27,3274737.59
2018-01-28,3200462.89
2018-01-29,3034501.76
2018-01-30,3062507.19
2018-01-31,3201632.0
2018-02-01,3379409.78
2018-02-02,3263161.85
2018-02-03,3221332.9
2018-02-04,3242257.24
2018-02-05,3285977.31
2018-02-06,3257826.69
2018-02-07,3281330.79
2018-02-08,3332813.95
2018-02-09,3316184.19
2018-02-10,3184091.24
2018-02-11,3243675.48
2018-02-12,3179248.5
2018-02-13,3073736.8
2018-02-14,3132222.53
2018-02-15,3189676.65
2018-02-16,3206877.34
2018-02-17,3250504.02
2018-02-18,3164624.84
2018-02-19,3184469.93
2018-02-20,3263209.12
2018-02-21,3278501.16
2018-02-22,3342145.03
2018-02-23,3281715.73
2018-02-24,3411418.92
2018-02-25,3439912.78
2018-02-26,3371559.86
2018-02-27,3397118.01
2018-02-28,3479825.76
2018-03-01,3320096.28
2018-03-02,3326618.14
2018-03-03,3340131.47
2018-03-04,3393192.42
2018-03-05,3421827.65
2018-03-06,3438268.29
2018-03-07,3420865.54
2018-03-08,3486213.17
2018-03-09,3382086.73
2018-03-10,3433369.52
2018-03-11,3411789.23
2018-03-12,3373239.84
2018-03-13,3465416.32
2018-03-14,3615201.27
2018-03-15,3644470.59
2018-03-16,3587627.9
2018-03-17,3477613.85
2018-03-18,3374542.37
2018-03-19,3250607.96
2018-03-20,3361859.58
2018-03-21,3336277.61
2018-03-22,3371873.74
2018-03-23,3244669.86
2018-03-24,3229956.44
2018-03-25,3294479.23
2018-03-26,3356941.12
2018-03-27,3285607.49
2018-03-28,3301884.84
2018-03-29,3252415.57
2018-03-30,3124348.48
2018-03-31,3133685.88
2018-04-01,3141488.59
2018-04-02,3114056.86
2018-04-03,3151594.37
2018-04-04,3232436.24
2018-04-05,3157016.69
2018-04-06,3305136.26
2018-04-07,3189171.7
2018-04-08,3085219.23
2018-04-09,3178890.58
2018-04-10,3181121.13
2018-04-11,3188527.62
2018-04-12,3123206.83
2018-04-13,3118116.85
2018-04-14,3083410.03
2018-04-15,3137516.29
2018-04-16,3278755.78
2018-04-17,3148144.12
2018-04-18,3037538.06
2018-04-19,3224110.19
2018-04-20,3172100.72
2018-04-21,3052519.92
2018-04-22,3123418.15
2018-04-23,3150494.28
2018-04-24,3070100.58
2018-04-25,3055542.41
2018-04-26,3008300.14
2018-04-27,3121106.09
2018-04-28,3150858.44
2018-04-29,3118107.06
2018-04-30,3278181.74
2018-05-01,3232498.85
2018-05-02,3269841.12
2018-05-03,3212766.28
2018-05-04,3240401.03
2018-05-05,3158771.14
2018-05-06,3165511.48
2018-05-07,3167912.2
2018-05-08,3058072.27
2018-05-09,3060231.63
2018-05-10,3000669.09
2018-05-11,3071139.98
2018-05-12,3251655.75
2018-05-13,3119174.55
2018-05-14,3095471.78
2018-05-15,3115969.47
2018-05-16,3106483.52
2018-05-17,3032341.23
2018-05-18,3139356.4
2018-05-19,3075869.68
2018-05-20,3089781.85
2018-05-21,3058246.98
2018-05-22,3025653.34
2018-05-23,3024583.0
2018-05-24,3109470.63
2018-05-25,3065273.46
2018-05-26,3073714.26
2018-05-27,3130051.14
2018-05-28,3163655.33
2018-05-29,3174647.2
2018-05-30,3230083.0
2018-05-31,3270691.26
2018-06-01,3164495.83
2018-06-02,3161147.24
2018-06-03,3090172.48
2018-06-04,3060018.49
2018-06-05,2992609.93
2018-06-06,2922313.44
2018-06-07,2954579.92
2018-06-08,3012663.63
2018-06-09,3180164.27
2018-06-10,3240935.42
2018-06-11,3270380.22
2018-06-12,3254221.22
2018-06-13,3150956.58
2018-06-14,3156249.82
2018-06-15,3180729.08
2018-06-16,3361406.1
2018-06-17,3371563.73
2018-06-18,3320756.91
2018-06-19,3423695.49
2018-06-20,3509371.34
2018-06-21,3322357.3
2018-06-22,3319270.15
2018-06-23,3261628.66
2018-06-24,3274894.79
2018-06-25,3326356.94
2018-06-26,3289576.49
2018-06-27,3283690.05
2018-06-28,3153839.51
2018-06-29,3222613.76
2018-06-30,3284823.74
2018-07-01,3188379.63
2018-07-02,3131620.15
2018-07-03,3165084.6
2018-07-04,3163421.55
2018-07-05,3066215.64
2018-07-06,3294233.78
2018-07-07,3137178.14
2018-07-08,3141167.32
2018-07-09,3116468.29
2018-07-10,3127947.08
2018-07-11,3065802.83
2018-07-12,3111531.21
2018-07-13,2963073.08
2018-07-14,3001693.42
2018-07-15,3132217.77
2018-07-16,3077815.33
2018-07-17,3149379.09
2018-07-18,3028508.9
2018-07-19,2931507.1
2018-07-20,3023208.87
2018-07-21,2959179.4
2018-07-22,3027950.68
2018-07-23,3037733.3
2018-07-24,3139788.64
2018-07-25,3069645.6
2018-07-26,3110628.97
2018-07-27,3057147.47
2018-07-28,3107729.93
2018-07-29,3045318.48
2018-07-30,3106143.45
2018-07-31,3311472.5
2018-08-01,3446321.24
2018-08-02,3338706.85
2018-08-03,3351867.58
2018-08-04,3305416.55
2018-08-05,3319077.92
2018-08-06,3308983.69
2018-08-07,3345516.4
2018-08-08,3359678.38
2018-08-09,3357690.72
2018-08-10,3400701.61
2018-08-11,3350037.63
2018-08-12,3464387.87
2018-08-13,3449073.33
2018-08-14,3459329.03
2018-08-15,3465525.77
2018-08-16,3353001.2
2018-08-17,3342961.2
2018-08-18,3339125.07
2018-08-19,3301930.99
2018-08-20,3237745.25
2018-08-21,3223657.14
2018-08-22,3278573.88
2018-08-23,3253881.46
2018-08-24,3148369.34
2018-08-25,3070381.46
2018-08-26,3071309.25
2018-08-27,3085317.21
2018-08-28,3118020.48
2018-08-29,3183720.33
2018-08-30,3142761.86
2018-08-31,3268833.94
2018-09-01,3307302.8
2018-09-02,3259461.22
2018-09-03,3296936.76
2018-09-04,3297096.61
2018-09-05,3264324.07
2018-09-06,3214779.41
2018-09-07,3339950.26
2018-09-08,3239539.45
2018-09-09,3321085.58
2018-09-10,3306262.96
2018-09-11,3350638.67
2018-09-12,3403616.73
2018-09-13,3346487.87
2018-09-14,3399026.84
2018-09-15,3367219.03
2018-09-16,3334966.07
2018-09-17,3247181.32
2018-09-18,3268944.23
2018-09-19,3182119.84
2018-09-20,3233577.54
2018-09-21,3181494.36
2018-09-22,3226967.18
2018-09-23,3246751.35
2018-09-24,3202682.41
2018-09-25,3187451.4
2018-09-26,3242693.28
2018-09-27,3315523.99
2018-09-28,3332673.99
2018-09-29,3476206.33
2018-09-30,3508201.32
2018-10-01,3440420.51
2018-10-02,3423478.13
2018-10-03,3441937.9
2018-10-04,3347956.6
2018-10-05,3380609.42
2018-10-06,3385724.88
2018-10-07,3258167.82
2018-10-08,3426484.26
2018-10-09,3320429.74
2018-10-10,3308882.8
2018-10-11,3213169.61
2018-10-12,3301165.62
2018-10-13,3237219.99
2018-10-14,3339715.97
2018-10-15,3446143.45
2018-10-16,3456655.94
2018-10-17,3395595.11
2018-10-18,3449321.66
2018-10-19,3458701.46
2018-10-20,3513736.25
2018-10-21,3470703.63
2018-10-22,3462878.78
2018-10-23,3570400.57
2018-10-24,3445814.29
2018-10-25,3423072.49
2018-10-26,3423977.8
2018-10-27,3315364.54
2018-10-28,3240508.15
2018-10-29,3271148.6
2018-10-30,3390027.21
2018-10-31,3407855.27
2018-11-01,3471707.11
2018-11-02,3495853.76
2018-11-03,3410012.72
2018-11-04,3445645.63
2018-11-05,3377006.4
2018-11-06,3280672.42
2018-11-07,3396059.51
2018-11-08,3465088.22
2018-11-09,3427603.79
2018-11-10,3374018.47
2018-11-11,3295140.56
2018-11-12,3194087.45
2018-11-13,3236319.14
2018-11-14,3080102.71
2018-11-15,3198658.66
2018-11-16,3091384.07
2018-11-17,3096384.35
2018-11-18,3198944.47
2018-11-19,3070378.09
2018-11-20,3137944.41
2018-11-21,3008822.59
2018-11-22,2895738.05
2018-11-23,3099657.55
2018-11-24,3046654.66
2018-11-25,3116470.99
2018-11-26,2977136.55
2018-11-27,3058626.57
2018-11-28,3000844.81
2018-11-29,3010482.34
2018-11-30,3002677.92
2018-12-01,2971978.92
2018-12-02,3012040.19
2018-12-03,2992969.43
2018-12-04,2935455.35
2018-12-05,2869686.2
2018-12-06,3021093.86
2018-12-07,3007445.56
2018-12-08,3025697.11
2018-12-09,2981541.67
2018-12-10,2921409.76
2018-12-11,2897587.99
2018-12-12,2953431.09
2018-12-13,2813496.59
2018-12-14,2856512.31
2018-12-15,2889110.1
2018-12-16,3029145.72
2018-12-17,2923322.01
2018-12-18,2910012.34
2018-12-19,2962805.76
2018-12-20,2787058.11
2018-12-21,2683745.0
2018-12-22,2760448.07
2018-12-23,2745115.06
2018-12-24,2825735.25
2018-12-25,2753555.0
2018-12-26,2704539.0
2018-12-27,2813305.52
2018-12-28,2761952.73
2018-12-29,2923497.63
2018-12-30,3030077.46
2018-12-31,3094983.51
2019-01-01,3121634.02
2019-01-02,3040434.13
2019-01-03,2887518.11
2019-01-04,2845908.91
2019-01-05,2881530.59
2019-01-06,2913805.54
2019-01-07,2794553.13
2019-01-08,2799766.59
2019-01-09,2779346.08
2019-01-10,2841076.83
2019-01-11,2798634.76
2019-01-12,2723210.45
2019-01-13,2699891.94
2019-01-14,2653397.86
2019-01-15,2632274.01
2019-01-16,2664920.92
2019-01-17,2634335.57
2019-01-18,2720299.06
2019-01-19,2748731.44
2019-01-20,2814188.33
2019-01-21,2796438.0
2019-01-22,2862336.09
2019-01-23,2932676.84
2019-01-24,2974037.27
2019-01-25,2916048.4
2019-01-26,2873754.23
2019-01-27,3032454.51
2019-01-28,2930262.23
2019-01-29,2954772.01
2019-01-30,2937692.45
2019-01-31,2814056.37
2019-02-01,2729063.89
2019-02-02,2754724.5
2019-02-03,2698068.64
2019-02-04,2754391.0
2019-02-05,2850850.65
2019-02-06,2740651.94
2019-02-07,2751304.91
2019-02-08,2685931.65
2019-02-09,2677249.27
2019-02-10,2630744.18
2019-02-11,2635251.78
2019-02-12,2693720.83
2019-02-13,2774367.81
2019-02-14,2742858.19
2019-02-15,2705507.43
2019-02-16,2658545.14
2019-02-17,2661681.56
2019-02-18,2552297.06
2019-02-19,2570891.44
2019-02-20,2563138.71
2019-02-21,2508652.92
2019-02-22,2694550.94
2019-02-23,2816114.57
2019-02-24,2790901.98
2019-02-25,2724006.82
2019-02-26,2705254.87
2019-02-27,2640845.12
2019-02-28,2716292.89
2019-03-01,2721754.04
2019-03-02,2710207.44
2019-03-03,2646231.72
2019-03-04,2649921.52
2019-03-05,2577305.51
2019-03-06,2705053.25
2019-03-07,2651242.86
2019-03-08,2698558.49
2019-03-09,2660788.17
2019-03-10,2717269.65
2019-03-11,2622282.81
2019-03-12,2532101.27
2019-03-13,2580411.1
2019-03-14,2575885.44
2019-03-15,2645264.87
2019-03-16,2602092.62
2019-03-17,2676086.49
2019-03-18,2631570.56
2019-03-19,2618774.93
2019-03-20,2745648.96
2019-03-21,2633838.72
2019-03-22,2610105.48
2019-03-23,2597236.68
2019-03-24,2625536.51
2019-03-25,2684099.54
2019-03-26,2755607.08
2019-03-27,2657871.33
2019-03-28,2718480.44
2019-03-29,2817502.82
2019-03-30,2966792.42
2019-03-31,2959064.35
2019-04-01,3023976.97
2019-04-02,2891550.51
2019-04-03,2757594.26
2019-04-04,2787621.63
2019-04-05,2762925.63
2019-04-06,2704113.03
2019-04-07,2707779.53
2019-04-08,2618801.62
2019-04-09,2746022.09
2019-04-10,2687061.96
2019-04-11,2810892.22
2019-04-12,2853709.53
2019-04-13,2696358.53
2019-04-14,2727737.07
2019-04-15,2733759.65
2019-04-16,2771403.53
2019-04-17,2745368.2
2019-04-18,2885514.65
2019-04-19,2813184.19
2019-04-20,2894177.25
2019-04-21,2834230.72
2019-04-22,2858305.0
2019-04-23,2896396.83
2019-04-24,2852917.07
2019-04-25,2799371.07
2019-04-26,2652679.52
2019-04-27,2775946.68
2019-04-28,2757134.77
2019-04-29,2836413.41
2019-04-30,2962178.9
2019-05-01,2942021.15
2019-05-02,3015186.66
2019-05-03,3128726.52
2019-05-04,3064511.7
2019-05-05,3076269.82
2019-05-06,3017548.22
2019-05-07,2942421.16
2019-05-08,2926457.38
2019-05-09,3054895.09
2019-05-10,3024546.75
2019-05-11,3108112.16
2019-05-12,3141900.88
2019-05-13,3277528.95
2019-05-14,3115019.12
2019-05-15,3213035.68
2019-05-16,3147894.4
2019-05-17,3006398.33
2019-05-18,2966817.1
2019-05-19,3114031.04
2019-05-20,2974578.48
2019-05-21,3043245.27
2019-05-22,2962291.21
2019-05-23,3061315.69
2019-05-24,3052943.22
2019-05-25,3178837.56
2019-05-26,3133878.08
2019-05-27,3112250.95
2019-05-28,3001898.71
2019-05-29,3122920.85
2019-05-30,3129230.64
2019-05-31,3167661.42
2019-06-01,3115226.74
2019-06-02,3151248.5
2019-06-03,3128388.29
2019-06-04,3036335.09
2019-06-05,2937941.06
2019-06-06,2996803.01
2019-06-07,2952058.67
2019-06-08,2935658.97
2019-06-09,2974884.87
2019-06-10,2986075.5
2019-06-11,2967044.12
2019-06-12,2983771.64
2019-06-13,2895695.71
2019-06-14,2832256.34
2019-06-15,2793342.79
2019-06-16,2811175.01
2019-06-17,2886431.12
2019-06-18,2924762.9
2019-06-19,2901414.66
2019-06-20,2967662.97
2019-06-21,2958981.53
2019-06-22,3049339.13
2019-06-23,3174138.23
2019-06-24,3147530.04
2019-06-25,3072078.97
2019-06-26,3025836.88
2019-06-27,3109447.28
2019-06-28,3086961.97
2019-06-29,3020021.44
2019-06-30,3069559.57
2019-07-01,3093090.37
2019-07-02,3106831.34
2019-07-03,3030921.96
2019-07-04,2917883.07
2019-07-05,2922312.99
2019-07-06,2733776.66
2019-07-07,2695753.03
2019-07-08,2841383.05
2019-07-09,2876297.25
2019-07-10,2893693.76
2019-07-11,2875680.33
2019-07-12,2858557.18
2019-07-13,2835449.11
2019-07-14,2874647.46
2019-07-15,2762136.78
2019-07-16,2792173.4
2019-07-17,2714886.19
2019-07-18,2879134.08
2019-07-19,2839042.93
2019-07-20,2793253.61
2019-07-21,2803922.01
2019-07-22,2764710.12
2019-07-23,2754521.93
2019-07-24,2781994.6
2019-07-25,2764921.7
2019-07-26,2641564.14
2019-07-27,2575870.46
2019-07-28,2657997.25
2019-07-29,2691721.68
2019-07-30,2676935.93
2019-07-31,2723111.74
2019-08-01,2729462.76
2019-08-02,2670313.82
2019-08-03,2678779.92
2019-08-04,2612957.67
2019-08-05,2685630.1
2019-08-06,2746713.88
2019-08-07,2741910.24
2019-08-08,2836025.33
2019-08-09,2759841.92
2019-08-10,2738793.05
2019-08-11,2706872.74
2019-08-12,2786695.97
2019-08-13,2719508.1
2019-08-14,2740841.42
2019-08-15,2774435.51
2019-08-16,2760960.3
2019-08-17,2807381.69
2019-08-18,2718436.45
2019-08-19,2651405.79
2019-08-20,2650753.75
2019-08-21,2543945.79
2019-08-22,2591571.0
2019-08-23,2641894.81
2019-08-24,2665931.33
2019-08-25,2776481.77
2019-08-26,2649188.04
2019-08-27,2707808.97
2019-08-28,2691239.09
2019-08-29,2702368.47
2019-08-30,2693147.91
2019-08-31,2616608.9
2019-09-01,2776519.6
2019-09-02,2712197.83
2019-09-03,2649221.4
2019-09-04,2692021.51
2019-09-05,2652030.4
2019-09-06,2749263.51
2019-09-07,2814453.15
2019-09-08,2722911.12
2019-09-09,2747532.98
2019-09-10,2679037.0
2019-09-11,2762639.6
2019-09-12,2721047.88
2019-09-13,2803496.32
2019-09-14,2894176.6
2019-09-15,2925784.2
2019-09-16,2882034.5
2019-09-17,2882376.63
2019-09-18,2892915.0
2019-09-19,2991244.33
2019-09-20,2921794.33
2019-09-21,2872980.05
2019-09-22,3013636.31
2019-09-23,3123720.62
2019-09-24,3154055.81
2019-09-25,3183905.3
2019-09-26,3134796.28
2019-09-27,3078939.6
2019-09-28,2988945.28
2019-09-29,3001704.13
2019-09-30,3175243.73
2019-10-01,3241989.41
2019-10-02,3163875.58
2019-10-03,3324766.09
2019-10-04,3228003.0
2019-10-05,3139717.81
2019-10-06,3089041.31
2019-10-07,3056993.17
2019-10-08,2978212.25
2019-10-09,3023797.18
2019-10-10,3139710.13
2019-10-11,3155971.92
2019-10-12,3106994.4
2019-10-13,2997779.49
2019-10-14,3147931.53
2019-10-15,3076152.56
2019-10-16,3219219.3
2019-10-17,3128396.48
2019-10-18,3030823.13
2019-10-19,3021087.16
2019-10-20,2998936.28
2019-10-21,3045963.06
2019-10-22,2913076.22
2019-10-23,2901919.27
2019-10-24,2888699.18
2019-10-25,2907184.95
2019-10-26,2899522.95
2019-10-27,2893802.34
2019-10-28,2827910.77
2019-10-29,2863843.89
2019-10-30,2861351.99
2019-10-31,2802508.33
2019-11-01,2839808.03
2019-11-02,2868157.46
2019-11-03,2790301.54
2019-11-04,2741582.08
2019-11-05,2806690.25
2019-11-06,2750502.73
2019-11-07,2803393.54
2019-11-08,2780142.77
2019-11-09,2784678.17
2019-11-10,2776355.96
2019-11-11,2812803.86
2019-11-12,2877467.54
2019-11-13,2907028.12
2019-11-14,2909234.2
2019-11-15,2998958.84
2019-11-16,2972264.33
2019-11-17,2926122.57
2019-11-18,2950825.58
2019-11-19,3036048.14
2019-11-20,3022695.44
2019-11-21,3117494.18
2019-11-22,2987414.41
2019-11-23,2975671.56
2019-11-24,2971898.49
2019-11-25,2998187.83
2019-11-26,2884701.88
2019-11-27,2942347.81
2019-11-28,2839272.86
2019-11-29,2839081.19
2019-11-30,2705645.56
2019-12-01,2789267.06
2019-12-02,2879808.26
2019-12-03,2917611.27
2019-12-04,2973604.33
2019-12-05,2926792.19
2019-12-06,2912787.91
2019-12-07,2785497.86
2019-12-08,2835202.06
2019-12-09,2754540.67
2019-12-10,2749764.89
2019-12-11,2724951.91
2019-12-12,2749103.27
2019-12-13,2737694.97
2019-12-14,2677862.35
2019-12-15,2667137.98
2019-12-16,2631923.13
2019-12-17,2676752.7
2019-12-18,2614150.95
2019-12-19,2650586.49
2019-12-20,2605054.92
2019-12-21,2641141.54
2019-12-22,2593654.7
2019-12-23,2596560.13
2019-12-24,2714811.38
2019-12-25,2602610.28
2019-12-26,2545730.51
2019-12-27,2620799.28
2019-12-28,2572055.36
2019-12-29,2646083.13
2019-12-30,2713064.9
2019-12-31,2877167.75
2020-01-01,2890847.83
2020-01-02,2836412.12
2020-01-03,2862209.89
2020-01-04,2827185.37
2020-01-05,2744797.55
2020-01-06,2709996.66
2020-01-07,2637451.59
2020-01-08,2647532.61
2020-01-09,2604121.53
2020-01-10,2589178.87
2020-01-11,2556327.17
2020-01-12,2534578.0
2020-01-13,2493157.08
2020-01-14,2486714.16
2020-01-15,2524768.34
2020-01-16,2590056.13
2020-01-17,2641377.32
2020-01-18,2641037.09
2020-01-19,2521365.79
2020-01-20,2510499.78
2020-01-21,2436995.2
2020-01-22,2435383.27
2020-01-23,2520328.99
2020-01-24,2399861.14
2020-01-25,2400238.35
2020-01-26,2407816.39
2020-01-27,2447284.26
2020-01-28,2442203.26
2020-01-29,2486532.51
2020-01-30,2456358.43
2020-01-31,2501777.85
2020-02-01,2480811.31
2020-02-02,2604980.9
2020-02-03,2550891.02
2020-02-04,2597995.1
2020-02-05,2529154.45
2020-02-06,2578965.92
2020-02-07,2507869.22
2020-02-08,2581385.2
2020-02-09,2559362.56
2020-02-10,2551891.83
2020-02-11,2492188.8
2020-02-12,2458534.92
2020-02-13,2451767.96
2020-02-14,2379087.39
2020-02-15,2301735.84
2020-02-16,2256513.41
2020-02-17,2308976.13
2020-02-18,2270667.17
2020-02-19,2331690.41
2020-02-20,2310154.85
2020-02-21,2197466.9
2020-02-22,2232966.05
2020-02-23,2275062.65
2020-02-24,2250810.33
2020-02-25,2255028.05
2020-02-26,2211906.81
2020-02-27,2109898.62
2020-02-28,2214313.1
2020-02-29,2243563.7
2020-03-01,2244977.84
2020-03-02,2352535.65
2020-03-03,2320601.96
2020-03-04,2303463.96
2020-03-05,2284852.0
2020-03-06,2354615.96
2020-03-07,2299132.92
2020-03-08,2307896.48
2020-03-09,2395705.8
2020-03-10,2332220.59
2020-03-11,2344974.93
2020-03-12,2424066.97
2020-03-13,2560493.03
2020-03-14,2518729.14
2020-03-15,2494534.91
2020-03-16,2459136.11
2020-03-17,2429336.04
2020-03-18,2408289.7
2020-03-19,2431768.35
2020-03-20,2528130.98
2020-03-21,2486416.26
2020-03-22,2332135.08
2020-03-23,2419610.58
2020-03-24,2372392.22
2020-03-25,2389130.73
2020-03-26,2436495.67
2020-03-27,2400809.37
2020-03-28,2397969.13
2020-03-29,2307708.47
2020-03-30,2436940.41
2020-03-31,2585406.9
2020-04-01,2634601.4
2020-04-02,2586747.24
2020-04-03,2436450.0
2020-04-04,2454051.08
2020-04-05,2320547.23
2020-04-06,2221293.4
2020-04-07,2288355.59
2020-04-08,2361547.7
2020-04-09,2310722.34
2020-04-10,2281854.34
2020-04-11,2329247.92
2020-04-12,2370080.63
2020-04-13,2395876.27
2020-04-14,2452590.53
2020-04-15,2472203.88
2020-04-16,2637780.51
2020-04-17,2637251.51
2020-04-18,2553684.48
2020-04-19,2678606.45
2020-04-20,2571731.45
2020-04-21,2617053.54
2020-04-22,2602106.81
2020-04-23,2597349.71
2020-04-24,2547527.67
2020-04-25,2548611.73
2020-04-26,2475042.5
2020-04-27,2519170.47
2020-04-28,2561039.06
2020-04-29,2581688.84
2020-04-30,2600000.01
2020-05-01,2724250.15
2020-05-02,2687235.16
2020-05-03,2701303.94
2020-05-04,2705924.31
2020-05-05,2651022.14
2020-05-06,2513022.54
2020-05-07,2505026.5
2020-05-08,2598445.44
2020-05-09,2570191.69
2020-05-10,2641532.01
2020-05-11,2685279.45
2020-05-12,2574452.86
2020-05-13,2739165.02
2020-05-14,2767424.35
2020-05-15,2806662.5
2020-05-16,2773102.22
2020-05-17,2681625.64
2020-05-18,2690628.42
2020-05-19,2621000.32
2020-05-20,2685201.53
2020-05-21,2734125.33
2020-05-22,2724868.27
2020-05-23,2719703.55
2020-05-24,2670269.56
2020-05-25,2711014.98
2020-05-26,2731980.36
2020-05-27,2679999.67
2020-05-28,2728662.96
2020-05-29,2631329.67
2020-05-30,2651823.5
2020-05-31,2675866.7
2020-06-01,2597807.79
2020-06-02,2495429.78
2020-06-03,2528297.24
2020-06-04,2591785.72
2020-06-05,2597847.87
2020-06-06,2765067.23
2020-06-07,2679364.48
2020-06-08,2563008.29
2020-06-09,2604689.54
2020-06-10,2679419.57
2020-06-11,2613822.25
2020-06-12,2652697.53
2020-06-13,2513535.58
2020-06-14,2525471.93
2020-06-15,2612314.75
2020-06-16,2759208.67
2020-06-17,2787884.88
2020-06-18,2685754.47
2020-06-19,2598147.21
2020-06-20,2804637.47
2020-06-21,2787891.67
2020-06-22,2792527.72
2020-06-23,2919354.07
2020-06-24,2878452.36
2020-06-25,2756947.68
2020-06-26,2945927.41
2020-06-27,2991447.77
2020-06-28,3276886.6
2020-06-29,3243865.36
2020-06-30,3406910.08
2020-07-01,3375291.23
2020-07-02,3283716.28
2020-07-03,3245188.89
2020-07-04,3131251.28
2020-07-05,3109269.74
2020-07-06,3023779.69
2020-07-07,2994508.31
2020-07-08,2934088.07
2020-07-09,2820940.97
2020-07-10,2848213.68
2020-07-11,3020244.96
2020-07-12,2945417.89
2020-07-13,2913384.88
2020-07-14,2909143.45
2020-07-15,2968640.24
2020-07-16,2859335.06
2020-07-17,2861337.27
