Date,Value
2018-01-01,1004168.28
2018-01-08,669088.5
2018-01-15,673440.14
2018-01-22,485505.09
2018-01-29,888092.52
2018-02-05,729057.34
2018-02-12,977592.03
2018-02-19,871388.58
2018-02-26,764752.93
2018-03-05,618885.93
2018-03-12,603047.28
2018-03-19,947159.23
2018-03-26,915006.62
2018-04-02,570805.71
2018-04-09,601358.92
2018-04-16,632776.53
2018-04-23,467977.19
2018-04-30,844977.65
2018-05-07,702625.77
2018-05-14,866689.19
2018-05-21,749897.29
2018-05-28,946113.32
2018-06-04,545979.83
2018-06-11,840369.02
2018-06-18,482008.86
2018-06-25,575075.59
2018-07-02,643276.91
2018-07-09,398885.42
2018-07-16,649562.23
2018-07-23,884829.9
2018-07-30,372805.16
2018-08-06,1044538.08
2018-08-13,625521.67
2018-08-20,666870.89
2018-08-27,672018.65
2018-09-03,1081347.85
2018-09-10,670702.28
2018-09-17,691387.67
2018-09-24,727590.93
2018-10-01,1057890.44
2018-10-08,635812.7
2018-10-15,797844.51
2018-10-22,606105.03
2018-10-29,609648.88
2018-11-05,603694.23
2018-11-12,740011.51
2018-11-19,585966.85
2018-11-26,702115.4
2018-12-03,626013.17
2018-12-10,449601.06
2018-12-17,461257.88
2018-12-24,424137.21
2018-12-31,397879.95
2019-01-07,474574.3
2019-01-14,530536.54
2019-01-21,613305.06
2019-01-28,610329.08
2019-02-04,557167.61
2019-02-11,830422.14
2019-02-18,449530.98
2019-02-25,583364.66
2019-03-04,527976.59
2019-03-11,693030.21
2019-03-18,489138.81
2019-03-25,723381.24
2019-04-01,378303.36
2019-04-08,449107.76
2019-04-15,548357.38
2019-04-22,876238.02
2019-04-29,613764.22
2019-05-06,829715.88
2019-05-13,1002083.65
2019-05-20,416962.33
2019-05-27,552117.79
2019-06-03,826426.31
2019-06-10,774395.2
2019-06-17,878952.52
2019-06-24,824304.85
2019-07-01,645565.5
2019-07-08,626371.7
2019-07-15,567668.89
2019-07-22,827107.42
2019-07-29,320182.81
2019-08-05,796690.78
2019-08-12,462603.9
2019-08-19,491051.8
2019-08-26,669010.33
2019-09-02,544600.57
2019-09-09,685227.25
2019-09-16,800155.57
2019-09-23,1114129.44
2019-09-30,817881.15
2019-10-07,855216.57
2019-10-14,492110.3
2019-10-21,743109.68
2019-10-28,755310.12
2019-11-04,584174.25
2019-11-11,503742.85
2019-11-18,738073.34
2019-11-25,562093.43
2019-12-02,648252.15
2019-12-09,222245.97
2019-12-16,523678.86
2019-12-23,679478.37
2019-12-30,929116.45
2020-01-06,209957.48
2020-01-13,610992.21
2020-01-20,842542.61
2020-01-27,278121.95
2020-02-03,497153.83
2020-02-10,591500.09
2020-02-17,493368.26
2020-02-24,568646.51
2020-03-02,420566.4
2020-03-09,697876.06
2020-03-16,704261.11
2020-03-23,346282.83
2020-03-30,395915.72
2020-04-06,313706.1
2020-04-13,336586.64
2020-04-20,370413.24
2020-04-27,175245.81
2020-05-04,352695.74
2020-05-11,451328.96
2020-05-18,302345.81
2020-05-25,330295.93
2020-06-01,287563.85
2020-06-08,611288.73
2020-06-15,731278.55
2020-06-22,820195.8
2020-06-29,912977.7
2020-07-06,578052.47
2020-07-13,780984.23
2020-07-20,726330.27
2020-07-27,790822.39
2020-08-03,700347.96
2020-08-10,791773.95
2020-08-17,286480.21
2020-08-24,787339.63
2020-08-31,388256.54
2020-09-07,399057.04
2020-09-14,541743.19
2020-09-21,570809.3
2020-09-28,537627.86
2020-10-05,832744.88
2020-10-12,611904.23
2020-10-19,445003.21
2020-10-26,895948.48
2020-11-02,395441.29
2020-11-09,366362.6
2020-11-16,471025.95
2020-11-23,371823.06
2020-11-30,763313.46
2020-12-07,668804.56
2020-12-14,519701.9
2020-12-21,711953.56
2020-12-28,598110.68
2021-01-04,639537.17
2021-01-11,746507.97
2021-01-18,486268.86
2021-01-25,450162.65
2021-02-01,475024.48
2021-02-08,699545.55
2021-02-15,545027.37
2021-02-22,613430.86
2021-03-01,682881.15
2021-03-08,444680.63
2021-03-15,358249.65
2021-03-22,644879.01
2021-03-29,688209.52
2021-04-05,717900.12
2021-04-12,332208.03
2021-04-19,895732.83
2021-04-26,551548.11
2021-05-03,578884.52
2021-05-10,930569.4
2021-05-17,808639.62
2021-05-24,649756.31
2021-05-31,787722.41
2021-06-07,697521.14
2021-06-14,848325.64
2021-06-21,1062499.08
2021-06-28,593695.23
2021-07-05,687923.78
2021-07-12,688285.0
2021-07-19,1102087.15
2021-07-26,517535.5
2021-08-02,847163.82
2021-08-09,314199.41
2021-08-16,967063.78
2021-08-23,532858.39
2021-08-30,349958.78
2021-09-06,406886.06
2021-09-13,804644.7
2021-09-20,827899.03
2021-09-27,465017.39
2021-10-04,485431.42
2021-10-11,910897.57
2021-10-18,588684.94
2021-10-25,477472.11
2021-11-01,729598.27
2021-11-08,526366.4
2021-11-15,517637.04
2021-11-22,747436.18
2021-11-29,521832.35
2021-12-06,737082.25
2021-12-13,578858.46
2021-12-20,558325.83
2021-12-27,612936.66
2022-01-03,913401.82
2022-01-10,606626.18
2022-01-17,880060.43
2022-01-24,787045.81
2022-01-31,747133.36
2022-02-07,831365.61
2022-02-14,1118985.17
2022-02-21,756805.3
2022-02-28,853399.72
2022-03-07,532805.37
2022-03-14,924176.26
2022-03-21,649841.68
2022-03-28,553568.94
2022-04-04,683990.86
2022-04-11,771569.28
2022-04-18,806594.54
2022-04-25,845122.33
2022-05-02,411951.16
2022-05-09,610760.38
2022-05-16,693017.63
2022-05-23,464693.01
2022-05-30,592999.76
2022-06-06,720303.72
2022-06-13,942317.87
2022-06-20,809368.35
2022-06-27,1123857.99
2022-07-04,757607.7
2022-07-11,631036.94
2022-07-18,771246.7
2022-07-25,601293.32
2022-08-01,882253.77
2022-08-08,494072.72
2022-08-15,687044.11
2022-08-22,777470.92
2022-08-29,702048.0
2022-09-05,614824.5
2022-09-12,794823.61
2022-09-19,956378.3
2022-09-26,727904.52
2022-10-03,564130.43
2022-10-10,357037.51
2022-10-17,661396.96
2022-10-24,748046.29
2022-10-31,450496.01
2022-11-07,536024.85
2022-11-14,769633.82
2022-11-21,570675.43
2022-11-28,1058492.48
2022-12-05,565734.33
2022-12-12,789240.95
2022-12-19,709082.7
2022-12-26,512619.57
2023-01-02,869750.53
2023-01-09,761132.68
2023-01-16,571613.5
2023-01-23,279511.1
2023-01-30,672152.53
2023-02-06,772760.75
2023-02-13,575665.94
2023-02-20,856922.91
2023-02-27,569737.34
2023-03-06,526473.33
2023-03-13,559236.06
2023-03-20,620966.96
2023-03-27,691116.32
2023-04-03,564211.29
2023-04-10,539491.44
2023-04-17,521527.74
2023-04-24,579038.18
2023-05-01,757485.5
2023-05-08,423190.15
2023-05-15,472482.49
2023-05-22,949615.85
2023-05-29,896129.1
2023-06-05,804057.95
2023-06-12,893566.45
2023-06-19,697946.14
2023-06-26,881328.28
2023-07-03,453159.3
2023-07-10,649627.82
2023-07-17,598798.96
2023-07-24,703592.6
2023-07-31,967822.16
2023-08-07,674772.69
2023-08-14,751512.87
2023-08-21,645455.88
2023-08-28,933965.01
2023-09-04,840561.32
2023-09-11,660749.11
2023-09-18,861644.76
2023-09-25,603785.89
2023-10-02,789736.95
2023-10-09,539535.47
2023-10-16,979404.39
2023-10-23,1052230.51
2023-10-30,441334.45
2023-11-06,807778.82
2023-11-13,552566.16
2023-11-20,489826.19
2023-11-27,713568.23
2023-12-04,440771.96
2023-12-11,821240.81
2023-12-18,864799.54
2023-12-25,492804.87
2024-01-01,936554.6
2024-01-08,618038.6
2024-01-15,782968.21
2024-01-22,812810.66
2024-01-29,546684.29
2024-02-05,452927.47
2024-02-12,972316.67
2024-02-19,906349.14
2024-02-26,1077903.73
2024-03-04,561155.34
2024-03-11,1060575.3
2024-03-18,849616.84
2024-03-25,876374.6
2024-04-01,899220.99
2024-04-08,478806.45
2024-04-15,1063890.02
2024-04-22,532053.29
2024-04-29,780111.74
2024-05-06,712347.12
2024-05-13,654288.57
2024-05-20,758286.99
2024-05-27,887129.28
2024-06-03,713706.61
2024-06-10,367719.41
2024-06-17,836358.83
2024-06-24,844959.69
2024-07-01,401889.25
2024-07-08,555860.22
2024-07-15,1080842.87
2024-07-22,784537.07
2024-07-29,609446.72
2024-08-05,1286511.58
2024-08-12,1054598.18
2024-08-19,690517.88
2024-08-26,804354.47
2024-09-02,354142.4
2024-09-09,710856.43
2024-09-16,403406.89
2024-09-23,771486.61
2024-09-30,841568.58
2024-10-07,357206.44
2024-10-14,905840.56
2024-10-21,889151.9
2024-10-28,691969.04
2024-11-04,761050.92
2024-11-11,930663.75
2024-11-18,665703.68
2024-11-25,819264.92
2024-12-02,1012232.71
2024-12-09,706556.0
2024-12-16,866356.72
2024-12-23,696178.71
2024-12-30,1067780.72
2025-01-06,690030.87
2025-01-13,845423.34
2025-01-20,1111489.52
2025-01-27,699950.8
2025-02-03,895678.03
2025-02-10,637426.49
2025-02-17,1111045.63
2025-02-24,846737.91
2025-03-03,890530.27
2025-03-10,925393.78
2025-03-17,796373.59
2025-03-24,625566.6
2025-03-31,487929.37
2025-04-07,985950.29
2025-04-14,445105.64
2025-04-21,754770.09
2025-04-28,923211.22
2025-05-05,623039.89
2025-05-12,570188.41
2025-05-19,713493.66
2025-05-26,458242.36
2025-06-02,739139.91
2025-06-09,965570.4
2025-06-16,1011857.12
2025-06-23,861596.24
