Date,Value
2018-01-01,3187300.08
2018-02-01,3411246.47
2018-03-01,3208783.03
2018-04-01,3215666.54
2018-05-01,3125224.11
2018-06-01,3224081.89
2018-07-01,3108890.69
2018-08-01,3274956.3
2018-09-01,3412399.66
2018-10-01,3339104.86
2018-11-01,3002835.08
2018-12-01,2941844.69
2019-01-01,2707953.0
2019-02-01,2643224.65
2019-03-01,2790799.14
2019-04-01,2796342.9
2019-05-01,3167886.48
2019-06-01,2948986.54
2019-07-01,2650041.5
2019-08-01,2653342.43
2019-09-01,3156714.46
2019-10-01,2860339.28
2019-11-01,2840408.89
2019-12-01,2802285.35
2020-01-01,2398104.55
2020-02-01,2253501.22
2020-03-01,2558619.5
2020-04-01,2495213.81
2020-05-01,2712329.28
2020-06-01,3108551.07
2020-07-01,2604969.73
2020-08-01,2893781.6
2020-09-01,2489038.89
2020-10-01,2838220.86
2020-11-01,2767162.79
2020-12-01,2872128.63
2021-01-01,2808387.89
2021-02-01,2961077.98
2021-03-01,3246416.19
2021-04-01,2710841.72
2021-05-01,3216173.97
2021-06-01,3247465.32
2021-07-01,3118320.74
2021-08-01,3195970.08
2021-09-01,3185330.99
2021-10-01,3258968.42
2021-11-01,3378794.46
2021-12-01,3360550.48
2022-01-01,3007449.84
2022-02-01,3069887.22
2022-03-01,3538477.07
2022-04-01,3109273.14
2022-05-01,3271969.26
2022-06-01,3659526.54
2022-07-01,3290788.78
2022-08-01,3192334.58
2022-09-01,3411042.54
2022-10-01,2878698.23
2022-11-01,3250500.57
2022-12-01,3355712.0
2023-01-01,2989489.8
2023-02-01,3325464.92
2023-03-01,3651496.04
2023-04-01,3471511.52
2023-05-01,3542543.16
2023-06-01,4024785.28
2023-07-01,3694590.97
2023-08-01,4010706.92
2023-09-01,3614425.25
2023-10-01,3265384.63
2023-11-01,3078380.32
2023-12-01,3429708.37
2024-01-01,3463298.4
2024-02-01,3600014.78
2024-03-01,3806033.62
2024-04-01,3673487.39
2024-05-01,3812804.71
2024-06-01,3557782.14
2024-07-01,3489411.66
2024-08-01,3678632.7
2024-09-01,3850673.04
2024-10-01,3591526.53
2024-11-01,3487774.66
2024-12-01,3868241.48
2025-01-01,3680178.78
2025-02-01,3572833.06
2025-03-01,3949959.7
2025-04-01,3510325.51
2025-05-01,3856962.02
2025-06-01,3537767.75
2025-07-01,4005906.16
2025-08-01,3779931.31
2025-09-01,4106204.77
2025-10-01,3445706.2
2025-11-01,3669214.1
2025-12-01,3568570.34
2026-01-01,3577628.68
2026-02-01,3593358.06
2026-03-01,1887861.72
2026-04-01,1894314.23
2026-05-01,1898500.42
2026-06-01,2306592.24
