Date,Value
2024-04-01,-53427811.81
2024-04-02,-54428919.31999999
2024-04-03,-53852866.66
2024-04-04,-50952471.78
2024-04-05,-50010306.91
2024-04-06,-52499652.45999999
2024-04-07,-51358008.989999995
2024-04-08,-48548179.519999996
2024-04-09,-50936650.61
2024-04-10,-55810771.629999995
2024-04-11,-55984308.14
2024-04-12,-56903091.900000006
2024-04-13,-57133374.480000004
2024-04-14,-57273189.47
2024-04-15,-58209772.56999999
2024-04-16,-56161308.230000004
2024-04-17,-57930054.47
2024-04-18,-60719310.11
2024-04-19,-68199548.51
2024-04-20,-64809723.39
2024-04-21,-61153032.17
2024-04-22,-59385905.93000001
2024-04-23,-55554227.010000005
2024-04-24,-56246649.84
2024-04-25,-54690391.06999999
2024-04-26,-55314045.510000005
2024-04-27,-53418694.04000001
2024-04-28,-57497751.84
2024-04-29,-59052736.16
2024-04-30,-61389444.86
2024-05-01,-59358565.629999995
2024-05-02,-59971327.989999995
2024-05-03,-61246167.2
2024-05-04,-60903679.56
2024-05-05,-58877269.70999999
2024-05-06,-53033825.18000001
2024-05-07,-58027793.09
2024-05-08,-62119537.980000004
2024-05-09,-62366872.56
2024-05-10,-60447987.33
2024-05-11,-59438920.81
2024-05-12,-61359689.08
2024-05-13,-62329370.25
2024-05-14,-59529535.31999999
2024-05-15,-61230611.58
2024-05-16,-60341803.19
2024-05-17,-62307156.36
2024-05-18,-61126994.75
2024-05-19,-60372868.06
2024-05-20,-59119247.43000001
2024-05-21,-57267898.59
2024-05-22,-60076137.56
2024-05-23,-59352236.099999994
2024-05-24,-56943179.33
2024-05-25,-57299569.91
2024-05-26,-58547627.599999994
2024-05-27,-62398654.58
2024-05-28,-58589519.54000001
2024-05-29,-57421414.81999999
2024-05-30,-51214045.08
2024-05-31,-56314413.269999996
2024-06-01,-56917685.5
2024-06-02,-57729475.67
2024-06-03,-56908836.59
2024-06-04,-53847251.91
2024-06-05,-55965324.06
2024-06-06,-52205481.95999999
2024-06-07,-50597360.150000006
2024-06-08,-48522955.42
2024-06-09,-50299077.22
2024-06-10,-48709128.370000005
2024-06-11,-53912917.22
2024-06-12,-52472745.56999999
2024-06-13,-51460494.89
2024-06-14,-51894985.66
2024-06-15,-50224689.900000006
2024-06-16,-52572631.54000001
2024-06-17,-51039509.379999995
2024-06-18,-48056451.45
2024-06-19,-46804043.58
2024-06-20,-49639428.510000005
2024-06-21,-48309546.31
2024-06-22,-45772790.86
2024-06-23,-41839065.05
2024-06-24,-43506895.2
2024-06-25,-46926461.28
2024-06-26,-46002703.14
2024-06-27,-41625337.980000004
2024-06-28,-44877906.900000006
2024-06-29,-47207233.730000004
2024-06-30,-46062420.18000001
2024-07-01,-44412099.97
2024-07-02,-45042112.55
2024-07-03,-41958622.45
2024-07-04,-44303607.019999996
2024-07-05,-47087003.93000001
2024-07-06,-46411495.64
2024-07-07,-44482915.370000005
2024-07-08,-43174334.349999994
2024-07-09,-39549929.55
2024-07-10,-44051526.68000001
2024-07-11,-44249604.239999995
2024-07-12,-43041774.989999995
2024-07-13,-39886515.769999996
2024-07-14,-39544915.45
2024-07-15,-36770476.08
2024-07-16,-38118779.95999999
2024-07-17,-40036553.93000001
2024-07-18,-42999418.86
2024-07-19,-43251499.489999995
2024-07-20,-39889889.61
2024-07-21,-42343388.7
2024-07-22,-42415369.3
2024-07-23,-41999079.730000004
2024-07-24,-43892468.489999995
2024-07-25,-48109843.650000006
2024-07-26,-48703690.45999999
2024-07-27,-41972349.55
2024-07-28,-44822168.06999999
2024-07-29,-40169765.29000001
2024-07-30,-38475349.58
2024-07-31,-40732601.150000006
2024-08-01,-43303836.45
2024-08-02,-40848359.66
2024-08-03,-45370574.75
2024-08-04,-47010397.93000001
2024-08-05,-47296125.14
2024-08-06,-45397456.879999995
2024-08-07,-47182204.09
2024-08-08,-45883818.870000005
2024-08-09,-47453693.55
2024-08-10,-47709204.20999999
2024-08-11,-48904022.09
2024-08-12,-44264330.17
2024-08-13,-44159491.269999996
2024-08-14,-45874208.92
2024-08-15,-45045616.739999995
2024-08-16,-42184169.59
2024-08-17,-44103852.41
2024-08-18,-44801548.14
2024-08-19,-41095801.97
2024-08-20,-45649442.650000006
2024-08-21,-47985906.019999996
2024-08-22,-47660137.879999995
2024-08-23,-52062550.599999994
2024-08-24,-50028645.129999995
2024-08-25,-51394508.989999995
2024-08-26,-48842397.370000005
2024-08-27,-48334452.650000006
2024-08-28,-49298859.14
2024-08-29,-52419560.95999999
2024-08-30,-51122414.81999999
2024-08-31,-50689002.03
2024-09-01,-53805027.75
2024-09-02,-48813789.97
2024-09-03,-52008158.03
2024-09-04,-52397632.97
2024-09-05,-51988697.05
2024-09-06,-50825693.70999999
2024-09-07,-52272925.739999995
2024-09-08,-53478982.79000001
2024-09-09,-49663387.8
2024-09-10,-46022664.849999994
2024-09-11,-46246038.8
2024-09-12,-44244629.20999999
2024-09-13,-47096566.75
2024-09-14,-46088805.78
2024-09-15,-45897828.25
2024-09-16,-44169025.870000005
2024-09-17,-44848572.8
2024-09-18,-41547005.120000005
2024-09-19,-41402214.0
2024-09-20,-43192752.94
2024-09-21,-44076674.150000006
2024-09-22,-46236883.25
2024-09-23,-46810062.59
2024-09-24,-45472344.81
2024-09-25,-43656378.879999995
2024-09-26,-46320773.44
2024-09-27,-46866606.269999996
2024-09-28,-52822185.56
2024-09-29,-51495805.55
2024-09-30,-49450075.2
2024-10-01,-52185576.08
2024-10-02,-46935914.47
2024-10-03,-46159985.45
2024-10-04,-46010224.20999999
2024-10-05,-49532824.18000001
2024-10-06,-51800768.400000006
2024-10-07,-55328053.75
2024-10-08,-53201047.68000001
2024-10-09,-53000440.43000001
2024-10-10,-46185668.2
2024-10-11,-50019859.11
2024-10-12,-52176142.17
2024-10-13,-47519546.8
2024-10-14,-45335981.239999995
2024-10-15,-47552486.22
2024-10-16,-51336527.61
2024-10-17,-46752745.79000001
2024-10-18,-47850375.54000001
2024-10-19,-45917946.83
2024-10-20,-43550790.19
2024-10-21,-44961793.28
2024-10-22,-45481876.97
2024-10-23,-47290398.41
2024-10-24,-45086926.260000005
2024-10-25,-44752719.58
2024-10-26,-49378350.230000004
2024-10-27,-53079845.68000001
2024-10-28,-48569114.92
2024-10-29,-46867688.480000004
2024-10-30,-45333582.06999999
2024-10-31,-51688884.0
2024-11-01,-48420158.11
2024-11-02,-45336252.379999995
2024-11-03,-41946916.72
2024-11-04,-35036439.61
2024-11-05,-34625227.95999999
2024-11-06,-33188450.78
2024-11-07,-33580367.70999999
2024-11-08,-37036074.39
2024-11-09,-38160136.31
2024-11-10,-38371998.08
2024-11-11,-38619660.870000005
2024-11-12,-36015598.69
2024-11-13,-35449555.83
2024-11-14,-36786257.39
2024-11-15,-33785958.730000004
2024-11-16,-37222155.05
2024-11-17,-33626746.620000005
2024-11-18,-30448845.769999996
2024-11-19,-28593912.629999995
2024-11-20,-29285401.120000005
2024-11-21,-27276369.14
2024-11-22,-29079726.739999995
2024-11-23,-29237636.349999994
2024-11-24,-32145269.620000005
2024-11-25,-27508669.92
2024-11-26,-28628343.049999997
2024-11-27,-29241282.75
2024-11-28,-32995821.060000002
2024-11-29,-31818987.629999995
2024-11-30,-32395664.129999995
2024-12-01,-33380361.799999997
2024-12-02,-36018661.79000001
2024-12-03,-35848941.06999999
2024-12-04,-37582603.95999999
2024-12-05,-39328299.260000005
2024-12-06,-40105553.61
2024-12-07,-37623564.81
2024-12-08,-36359170.56999999
2024-12-09,-36515575.400000006
2024-12-10,-34847316.69
2024-12-11,-36923152.75
2024-12-12,-39416542.66
2024-12-13,-44839512.56999999
2024-12-14,-44301293.47
2024-12-15,-47086368.260000005
2024-12-16,-47074192.379999995
2024-12-17,-43576071.70999999
2024-12-18,-38616231.150000006
2024-12-19,-34540560.599999994
2024-12-20,-33028233.790000007
2024-12-21,-44071725.29000001
2024-12-22,-44526238.730000004
2024-12-23,-41000388.989999995
2024-12-24,-46115258.41
2024-12-25,-44254946.94
2024-12-26,-45457856.730000004
2024-12-27,-44721453.86
2024-12-28,-44794344.43000001
2024-12-29,-42665992.03
2024-12-30,-48050222.95
2024-12-31,-49385360.7
2025-01-01,-53806512.31
2025-01-02,-52585164.72
2025-01-03,-49823110.95
2025-01-04,-50706045.18000001
2025-01-05,-49018703.47
2025-01-06,-45498768.879999995
2025-01-07,-48054658.28
2025-01-08,-47242081.53
2025-01-09,-49162465.47
2025-01-10,-51786190.45
2025-01-11,-52640660.03
2025-01-12,-47526691.19
2025-01-13,-45449884.989999995
2025-01-14,-45296599.599999994
2025-01-15,-47823017.66
2025-01-16,-52860669.81999999
