Date,Value
2018-01-01,4915770.11
2018-01-02,4640880.24
2018-01-03,4451041.17
2018-01-04,3653002.58
2018-01-05,3141861.12
2018-01-06,3098216.11
2018-01-07,3314906.38
2018-01-08,3314906.38
2018-01-09,4118373.08
2018-01-10,3901682.81
2018-01-11,3548598.0
2018-01-12,2811243.49
2018-01-13,3527262.95
2018-01-14,3483316.05
2018-01-15,3598048.49
2018-01-16,3598048.49
2018-01-17,3368583.61
2018-01-18,3173769.3
2018-01-19,3173769.3
2018-01-20,3455011.89
2018-01-21,3946629.78
2018-01-22,3392384.23
2018-01-23,3392384.23
2018-01-24,2648368.82
2018-01-25,3887631.33
2018-01-26,4024805.81
2018-01-27,3281639.53
2018-01-28,2993736.04
2018-01-29,3101669.19
2018-01-30,3058036.77
2018-01-31,3058036.77
2018-02-01,2802915.76
2018-02-02,2802915.76
2018-02-03,2895092.94
2018-02-04,2870506.07
2018-02-05,2778328.89
2018-02-06,3099763.38
2018-02-07,2915736.11
2018-02-08,3021430.09
2018-02-09,3371319.69
2018-02-10,3435463.19
2018-02-11,3728285.33
2018-02-12,3943635.9
2018-02-13,3805423.59
2018-02-14,3571845.18
2018-02-15,3371848.07
2018-02-16,3472384.41
2018-02-17,3273638.97
2018-02-18,3436595.39
2018-02-19,3436595.39
2018-02-20,2903735.21
2018-02-21,2436081.49
2018-02-22,2774976.49
2018-02-23,2978722.33
2018-02-24,3077522.7
2018-02-25,3244164.95
2018-02-26,3458477.68
2018-02-27,3458477.68
2018-02-28,3742267.65
2018-03-01,3848414.49
2018-03-02,3722649.72
2018-03-03,3679633.68
2018-03-04,4106736.98
2018-03-05,4006735.28
2018-03-06,4006735.28
2018-03-07,4078130.92
2018-03-08,3514815.46
2018-03-09,3858119.61
2018-03-10,3143987.08
2018-03-11,3552466.24
2018-03-12,3552466.24
2018-03-13,4249264.04
2018-03-14,4654327.85
2018-03-15,3711372.02
2018-03-16,3562844.42
2018-03-17,3562844.42
2018-03-18,3309981.46
2018-03-19,2621530.23
2018-03-20,2664703.48
2018-03-21,2496375.55
2018-03-22,2462592.99
2018-03-23,2462592.99
2018-03-24,2462592.99
2018-03-25,2220045.3
2018-03-26,2220045.3
2018-03-27,2243613.23
2018-03-28,2243613.23
2018-03-29,2922422.19
2018-03-30,3072314.67
2018-03-31,3313874.86
2018-04-01,3313874.86
2018-04-02,3895543.98
2018-04-03,4571660.88
2018-04-04,4913273.1
2018-04-05,4913273.1
2018-04-06,4688393.5
2018-04-07,4688393.5
2018-04-08,4926041.42
2018-04-09,4926041.42
2018-04-10,5302008.56
2018-04-11,5302008.56
2018-04-12,5302008.56
2018-04-13,5278440.63
2018-04-14,5278440.63
2018-04-15,5532995.57
2018-04-16,6197180.71
2018-04-17,5907717.32
2018-04-18,5167444.34
2018-04-19,4977014.03
2018-04-20,4362260.51
2018-04-21,4161162.67
2018-04-22,4161162.67
2018-04-23,3841074.21
2018-04-24,4066777.78
2018-04-25,3936868.03
2018-04-26,3560900.89
2018-04-27,3163686.77
2018-04-28,3163686.77
2018-04-29,4324188.28
2018-04-30,4273511.27
2018-05-01,3802505.08
2018-05-02,3561724.83
2018-05-03,3762784.92
2018-05-04,3762784.92
2018-05-05,2886230.59
2018-05-06,2886230.59
2018-05-07,2617209.1
2018-05-08,2617209.1
2018-05-09,2641424.88
2018-05-10,3025782.63
2018-05-11,3025782.63
2018-05-12,2740539.71
2018-05-13,3089580.21
2018-05-14,3089580.21
2018-05-15,3089580.21
2018-05-16,3089580.21
2018-05-17,3838608.61
2018-05-18,3482372.6
2018-05-19,3802008.21
2018-05-20,4186303.05
2018-05-21,3575826.6
2018-05-22,3775823.71
2018-05-23,4537293.35
2018-05-24,4575673.77
2018-05-25,5569111.63
2018-05-26,5222505.32
2018-05-27,5222505.32
2018-05-28,5300197.06
2018-05-29,5798381.5
2018-05-30,5917353.27
2018-05-31,5826974.98
2018-06-01,5312726.36
2018-06-02,4877295.34
2018-06-03,4877295.34
2018-06-04,4677725.94
2018-06-05,4567585.06
2018-06-06,4567585.06
2018-06-07,4393659.21
2018-06-08,4710904.68
2018-06-09,4822624.29
2018-06-10,4991706.98
2018-06-11,5081707.88
2018-06-12,5090431.84
2018-06-13,5748654.24
2018-06-14,5876305.93
2018-06-15,5467952.56
2018-06-16,5476387.2
2018-06-17,4980240.65
2018-06-18,4694551.16
2018-06-19,3725675.01
2018-06-20,3599576.88
2018-06-21,3561095.82
2018-06-22,3561095.82
2018-06-23,4625067.61
2018-06-24,3927590.51
2018-06-25,3927590.51
2018-06-26,3845420.44
2018-06-27,3830909.85
2018-06-28,4795527.78
2018-06-29,4517537.01
2018-06-30,3779000.03
2018-07-01,3924829.29
2018-07-02,3924829.29
2018-07-03,3297735.17
2018-07-04,3701371.19
2018-07-05,2448371.72
2018-07-06,2187155.88
2018-07-07,2187155.88
2018-07-08,1717546.03
2018-07-09,1717546.03
2018-07-10,1563609.2
2018-07-11,1563609.2
2018-07-12,1868715.34
2018-07-13,1979711.63
2018-07-14,1979711.63
2018-07-15,2202559.63
2018-07-16,2697278.41
2018-07-17,2697278.41
2018-07-18,2697278.41
2018-07-19,2697278.41
2018-07-20,2697561.46
2018-07-21,2697561.46
2018-07-22,2953261.13
2018-07-23,2953261.13
2018-07-24,2953261.13
2018-07-25,2737470.31
2018-07-26,3263726.18
2018-07-27,3263726.18
2018-07-28,3647360.61
2018-07-29,3209816.22
2018-07-30,3327693.56
2018-07-31,3327693.56
2018-08-01,3327693.56
2018-08-02,3543314.56
2018-08-03,3825934.63
2018-08-04,2930894.57
2018-08-05,2908955.71
2018-08-06,2908955.71
2018-08-07,2908955.71
2018-08-08,2216510.44
2018-08-09,2097054.34
2018-08-10,2023828.37
2018-08-11,2966476.01
2018-08-12,3356721.03
2018-08-13,3878328.74
2018-08-14,3588513.12
2018-08-15,3416140.86
2018-08-16,3596060.9
2018-08-17,3596060.9
2018-08-18,3596060.9
2018-08-19,2989817.49
2018-08-20,2989817.49
2018-08-21,2993692.01
2018-08-22,3389560.12
2018-08-23,3389560.12
2018-08-24,3389560.12
2018-08-25,3389560.12
2018-08-26,3389560.12
2018-08-27,3696811.08
2018-08-28,4019421.75
2018-08-29,4730705.0
2018-08-30,4234457.81
2018-08-31,4234457.81
2018-09-01,4398999.27
2018-09-02,4218337.03
2018-09-03,3071113.3
2018-09-04,3071113.3
2018-09-05,3698974.78
2018-09-06,3698974.78
2018-09-07,3648480.19
2018-09-08,3603998.65
2018-09-09,3984242.88
2018-09-10,3984242.88
2018-09-11,3727668.93
2018-09-12,4344026.36
2018-09-13,3971971.48
2018-09-14,4388633.7
2018-09-15,4636747.86
2018-09-16,4733843.66
2018-09-17,3694200.87
2018-09-18,4210688.67
2018-09-19,4640911.72
2018-09-20,4037247.13
2018-09-21,3754073.55
2018-09-22,3754073.55
2018-09-23,3754073.55
2018-09-24,3399491.77
2018-09-25,2579136.92
2018-09-26,2686881.37
2018-09-27,3240296.65
2018-09-28,4265133.23
2018-09-29,4443248.08
2018-09-30,3950252.72
2018-10-01,4093408.81
2018-10-02,4402980.7
2018-10-03,4105013.49
2018-10-04,3760432.5
2018-10-05,3291174.89
2018-10-06,3639630.41
2018-10-07,3639630.41
2018-10-08,2967199.33
2018-10-09,2967199.33
2018-10-10,3191059.98
2018-10-11,3191059.98
2018-10-12,2455208.74
2018-10-13,2100696.13
2018-10-14,2100696.13
2018-10-15,2419073.77
2018-10-16,2419073.77
2018-10-17,1872407.45
2018-10-18,1691996.81
2018-10-19,1468771.43
2018-10-20,1468771.43
2018-10-21,1839373.37
2018-10-22,1960395.62
2018-10-23,2690630.06
2018-10-24,3259071.7
2018-10-25,3259071.7
2018-10-26,3558850.39
2018-10-27,4028271.54
2018-10-28,4524499.86
2018-10-29,4524499.86
2018-10-30,4524499.86
2018-10-31,4524499.86
2018-11-01,4206122.22
2018-11-02,4470539.57
2018-11-03,4628866.68
2018-11-04,4364449.33
2018-11-05,4575057.35
2018-11-06,4399049.58
2018-11-07,4486660.36
2018-11-08,3944491.26
2018-11-09,4398382.89
2018-11-10,4441109.58
2018-11-11,4233596.14
2018-11-12,4336434.55
2018-11-13,4213405.85
2018-11-14,4142525.97
2018-11-15,4138211.16
2018-11-16,5026829.33
2018-11-17,5283856.15
2018-11-18,4787627.83
2018-11-19,4754776.14
2018-11-20,5232166.48
2018-11-21,5232166.48
2018-11-22,4899479.53
2018-11-23,4816114.38
2018-11-24,4469023.75
2018-11-25,4366185.34
2018-11-26,4390564.65
2018-11-27,4597455.39
2018-11-28,4477948.97
2018-11-29,4477948.97
2018-11-30,3908444.35
2018-12-01,3908444.35
2018-12-02,4482653.75
2018-12-03,4261799.63
2018-12-04,4837461.96
2018-12-05,4541230.75
2018-12-06,4786495.63
2018-12-07,4564760.93
2018-12-08,3771471.12
2018-12-09,3567807.05
2018-12-10,3569379.5
2018-12-11,3565605.61
2018-12-12,3565605.61
2018-12-13,3565605.61
2018-12-14,4109592.47
2018-12-15,3537961.89
2018-12-16,2776989.15
2018-12-17,2097827.98
2018-12-18,2136378.23
2018-12-19,2012752.0
2018-12-20,2193433.1
2018-12-21,2193433.1
2018-12-22,2415721.3
2018-12-23,2415721.3
2018-12-24,2254205.25
2018-12-25,2531994.74
2018-12-26,3469641.99
2018-12-27,3577788.99
2018-12-28,3577788.99
2018-12-29,4755996.33
2018-12-30,5759101.62
2018-12-31,5590754.84
2019-01-01,6394183.8
2019-01-02,6394183.8
2019-01-03,6116394.31
2019-01-04,6504752.38
2019-01-05,7027265.82
2019-01-06,6821714.82
2019-01-07,6562832.5
2019-01-08,5893200.42
2019-01-09,6097040.61
2019-01-10,5582546.68
2019-01-11,5583075.03
2019-01-12,5551280.03
2019-01-13,5687272.03
2019-01-14,6192997.98
2019-01-15,6192997.98
2019-01-16,6192997.98
2019-01-17,6192997.98
2019-01-18,6525269.81
2019-01-19,6419299.08
2019-01-20,5683309.46
2019-01-21,6069151.61
2019-01-22,5572533.32
2019-01-23,5097759.55
2019-01-24,5097759.55
2019-01-25,5097759.55
2019-01-26,5578659.6
2019-01-27,5578659.6
2019-01-28,5057051.89
2019-01-29,5065411.02
2019-01-30,5065411.02
2019-01-31,5481331.04
2019-02-01,4533764.76
2019-02-02,4707734.63
2019-02-03,5173759.28
2019-02-04,5512226.56
2019-02-05,4944709.53
2019-02-06,4306180.53
2019-02-07,4722308.11
2019-02-08,5158072.5
2019-02-09,5199000.33
2019-02-10,5199000.33
2019-02-11,4492000.46
2019-02-12,4000791.4
2019-02-13,4064809.11
2019-02-14,4655070.11
2019-02-15,5114006.14
2019-02-16,5765655.7
2019-02-17,5809973.71
2019-02-18,6060207.54
2019-02-19,5837604.84
2019-02-20,5837604.84
2019-02-21,5505333.01
2019-02-22,5953393.97
2019-02-23,5953393.97
2019-02-24,5933310.6
2019-02-25,6026431.23
2019-02-26,6026431.23
2019-02-27,6157598.93
2019-02-28,6157598.93
2019-03-01,6863812.59
2019-03-02,7137293.56
2019-03-03,6984067.47
2019-03-04,7156685.03
2019-03-05,7730724.61
2019-03-06,7369878.15
2019-03-07,7015334.1
2019-03-08,7192983.52
2019-03-09,7219866.18
2019-03-10,7613627.19
2019-03-11,7695426.18
2019-03-12,7695426.18
