Date,Value
2018-01-01,1327.16
2018-01-02,158448.62
2018-01-03,227699.04
2018-01-04,219414.52
2018-01-05,169492.4
2018-01-06,205221.1
2018-01-07,207204.77
2018-01-08,174873.38
2018-01-09,277732.48
2018-01-10,240917.47
2018-01-11,211016.91
2018-01-12,186300.34
2018-01-13,245245.38
2018-01-14,251866.98
2018-01-15,237873.64
2018-01-16,214478.67
2018-01-17,194074.94
2018-01-18,203737.37
2018-01-19,185439.73
2018-01-20,213414.0
2018-01-21,237233.37
2018-01-22,217341.59
2018-01-23,199463.35
2018-01-24,183341.79
2018-01-25,267316.73
2018-01-26,257119.89
2018-01-27,237249.07
2018-01-28,235031.84
2018-01-29,225446.21
2018-01-30,227660.11
2018-01-31,210845.09
2018-02-01,195416.2
2018-02-02,181239.12
2018-02-03,174829.32
2018-02-04,162339.94
2018-02-05,150822.48
2018-02-06,162849.48
2018-02-07,169830.15
2018-02-08,165360.69
2018-02-09,178153.81
2018-02-10,189891.45
2018-02-11,196961.63
2018-02-12,198219.5
2018-02-13,184713.12
2018-02-14,172172.48
2018-02-15,196436.36
2018-02-16,189967.74
2018-02-17,177191.59
2018-02-18,176236.82
2018-02-19,164446.62
2018-02-20,175326.67
2018-02-21,163651.22
2018-02-22,175296.97
2018-02-23,177183.87
2018-02-24,205830.53
2018-02-25,203240.41
2018-02-26,253737.96
2018-02-27,237018.37
2018-02-28,240096.06
2018-03-01,249943.29
2018-03-02,233537.24
2018-03-03,244140.95
2018-03-04,261009.85
2018-03-05,243931.3
2018-03-06,227984.85
2018-03-07,217756.96
2018-03-08,203545.16
2018-03-09,234760.91
2018-03-10,219461.52
2018-03-11,239674.12
2018-03-12,224074.28
2018-03-13,254825.2
2018-03-14,264593.08
2018-03-15,247398.94
2018-03-16,231329.65
2018-03-17,216310.66
2018-03-18,218519.97
2018-03-19,212576.89
2018-03-20,230562.61
2018-03-21,215615.58
2018-03-22,205423.92
2018-03-23,192114.64
2018-03-24,179671.06
2018-03-25,168036.45
2018-03-26,157157.83
2018-03-27,148511.21
2018-03-28,138900.81
2018-03-29,173832.31
2018-03-30,172283.71
2018-03-31,193010.22
2018-04-01,180529.07
2018-04-02,211081.37
2018-04-03,241144.54
2018-04-04,247638.62
2018-04-05,231633.58
2018-04-06,216664.66
2018-04-07,202664.59
2018-04-08,204924.86
2018-04-09,191685.93
2018-04-10,203590.15
2018-04-11,190439.69
2018-04-12,178139.59
2018-04-13,166634.76
2018-04-14,155873.67
2018-04-15,194738.28
2018-04-16,250229.6
2018-04-17,234072.89
2018-04-18,218960.16
2018-04-19,206596.79
2018-04-20,193259.27
2018-04-21,180783.33
2018-04-22,169113.23
2018-04-23,175512.83
2018-04-24,178752.56
2018-04-25,167214.75
2018-04-26,156421.99
2018-04-27,155531.27
2018-04-28,145493.16
2018-04-29,211000.99
2018-04-30,224016.53
2018-05-01,231185.6
2018-05-02,216266.03
2018-05-03,215284.73
2018-05-04,201391.84
2018-05-05,188395.7
2018-05-06,176238.41
2018-05-07,179746.56
2018-05-08,168147.74
2018-05-09,158860.1
2018-05-10,175182.83
2018-05-11,163878.9
2018-05-12,153304.48
2018-05-13,165934.39
2018-05-14,155227.53
2018-05-15,145211.62
2018-05-16,135842.05
2018-05-17,175406.72
2018-05-18,164089.02
2018-05-19,174125.23
2018-05-20,189248.2
2018-05-21,177037.63
2018-05-22,178519.0
2018-05-23,216131.43
2018-05-24,223316.85
2018-05-25,277799.98
2018-05-26,259876.34
2018-05-27,243109.2
2018-05-28,234859.27
2018-05-29,256643.5
2018-05-30,267996.49
2018-05-31,250705.66
2018-06-01,239756.08
2018-06-02,232158.05
2018-06-03,217179.59
2018-06-04,203167.55
2018-06-05,195268.91
2018-06-06,182670.56
2018-06-07,207672.89
2018-06-08,214742.27
2018-06-09,223307.85
2018-06-10,219809.38
2018-06-11,211434.47
2018-06-12,220338.82
2018-06-13,248589.87
2018-06-14,261087.48
2018-06-15,252396.61
2018-06-16,246044.28
2018-06-17,230170.24
2018-06-18,215320.35
2018-06-19,201428.55
2018-06-20,188433.02
2018-06-21,180312.8
2018-06-22,168679.61
2018-06-23,233433.22
2018-06-24,218372.89
2018-06-25,204284.2
2018-06-26,212519.62
2018-06-27,214118.09
2018-06-28,262537.75
2018-06-29,245599.72
2018-06-30,229754.49
2018-07-01,224339.93
2018-07-02,209866.31
2018-07-03,196326.49
2018-07-04,209701.36
2018-07-05,196172.18
2018-07-06,183515.86
2018-07-07,171676.09
2018-07-08,160600.17
2018-07-09,150238.84
2018-07-10,140545.98
2018-07-11,131478.47
2018-07-12,142680.29
2018-07-13,140636.15
2018-07-14,131562.83
2018-07-15,137452.21
2018-07-16,160501.71
2018-07-17,150146.74
2018-07-18,140459.84
2018-07-19,131397.9
2018-07-20,153272.03
2018-07-21,143383.5
2018-07-22,150629.71
2018-07-23,140911.65
2018-07-24,131820.57
2018-07-25,140721.35
2018-07-26,170880.86
2018-07-27,159856.28
2018-07-28,174293.59
2018-07-29,178376.1
2018-07-30,198883.93
2018-07-31,186052.7
2018-08-01,174049.29
2018-08-02,176731.34
2018-08-03,203247.15
2018-08-04,201021.08
2018-08-05,195914.64
2018-08-06,183274.98
2018-08-07,171450.79
2018-08-08,160389.44
2018-08-09,181888.88
2018-08-10,181926.61
2018-08-11,231005.4
2018-08-12,241278.93
2018-08-13,259364.66
2018-08-14,242631.45
2018-08-15,226977.81
2018-08-16,223941.82
2018-08-17,209493.96
2018-08-18,195978.22
2018-08-19,183334.46
2018-08-20,171506.43
2018-08-21,193098.6
2018-08-22,206180.51
2018-08-23,192878.54
2018-08-24,180434.76
2018-08-25,168793.81
2018-08-26,157903.88
2018-08-27,167539.18
2018-08-28,189151.54
2018-08-29,222837.46
2018-08-30,208460.85
2018-08-31,195011.76
2018-09-01,193045.93
2018-09-02,190261.84
2018-09-03,177986.88
2018-09-04,166503.86
2018-09-05,196268.87
2018-09-06,183606.36
2018-09-07,188908.84
2018-09-08,178985.5
2018-09-09,191969.94
2018-09-10,179584.78
2018-09-11,177741.79
2018-09-12,238696.67
2018-09-13,223296.89
2018-09-14,273728.44
2018-09-15,272075.91
2018-09-16,270529.99
2018-09-17,273596.64
2018-09-18,289267.04
2018-09-19,298360.98
2018-09-20,288104.69
2018-09-21,269517.29
2018-09-22,252129.08
2018-09-23,235862.68
2018-09-24,241557.13
2018-09-25,225972.8
2018-09-26,244123.65
2018-09-27,264077.94
2018-09-28,313159.15
2018-09-29,310893.47
2018-09-30,290835.82
2018-10-01,291959.39
2018-10-02,306163.06
2018-10-03,301390.5
2018-10-04,281945.95
2018-10-05,280572.82
2018-10-06,294895.93
2018-10-07,275870.38
2018-10-08,258072.29
2018-10-09,241422.47
2018-10-10,240289.45
2018-10-11,224786.9
2018-10-12,210284.52
2018-10-13,196717.78
2018-10-14,184026.31
2018-10-15,192694.14
2018-10-16,180262.26
2018-10-17,179987.77
2018-10-18,168375.66
2018-10-19,157512.71
2018-10-20,147350.6
2018-10-21,161753.91
2018-10-22,192165.83
2018-10-23,226879.94
2018-10-24,248916.17
2018-10-25,232857.07
2018-10-26,237174.59
2018-10-27,252158.24
2018-10-28,267904.7
2018-10-29,250620.52
2018-10-30,234451.46
2018-10-31,219325.56
2018-11-01,205175.52
2018-11-02,208997.57
2018-11-03,217946.98
2018-11-04,203885.88
2018-11-05,207791.14
2018-11-06,194385.26
2018-11-07,199187.92
2018-11-08,214639.2
2018-11-09,230074.84
2018-11-10,217987.87
2018-11-11,203924.13
2018-11-12,197402.47
2018-11-13,209103.76
2018-11-14,195613.19
2018-11-15,205871.26
2018-11-16,254382.78
2018-11-17,254553.36
2018-11-18,238130.57
2018-11-19,238995.02
2018-11-20,254375.36
2018-11-21,237964.05
2018-11-22,237595.48
2018-11-23,231091.14
2018-11-24,216182.03
2018-11-25,202234.81
2018-11-26,200784.59
2018-11-27,223108.88
2018-11-28,208714.76
2018-11-29,195249.29
2018-11-30,195792.18
