Date,Value
2018-01-01,3759414.94
2018-02-01,3757263.28
2018-03-01,4042224.73
2018-04-01,3630169.45
2018-05-01,3847147.26
2018-06-01,3908387.89
2018-07-01,3679276.69
2018-08-01,3864809.67
2018-09-01,3848593.2
2018-10-01,4002036.1
2018-11-01,3614779.73
2018-12-01,3892773.53
2019-01-01,3830661.13
2019-02-01,3882063.26
2019-03-01,3800128.91
2019-04-01,3880905.0
2019-05-01,4039678.19
2019-06-01,3922116.89
2019-07-01,3751967.81
2019-08-01,3949195.8
2019-09-01,3708594.81
2019-10-01,4363754.79
2019-11-01,4044985.82
2019-12-01,4515447.4
2020-01-01,3860372.12
2020-02-01,4581803.04
2020-03-01,4767706.3
2020-04-01,4235219.04
2020-05-01,4606998.4
2020-06-01,5164912.0
2020-07-01,5197527.43
2020-08-01,4625971.73
2020-09-01,4775424.92
2020-10-01,4743285.22
2020-11-01,4878712.85
2020-12-01,5291891.86
2021-01-01,4570093.27
2021-02-01,4440897.25
2021-03-01,5071515.97
2021-04-01,5193835.3
2021-05-01,4870511.66
2021-06-01,4457696.43
2021-07-01,4480534.1
2021-08-01,4476679.85
2021-09-01,4435560.47
2021-10-01,4518534.06
2021-11-01,4437730.24
2021-12-01,4784166.56
2022-01-01,3945922.7
2022-02-01,4475648.67
2022-03-01,4618759.38
2022-04-01,4342663.51
2022-05-01,4196518.95
2022-06-01,4797718.1
2022-07-01,4628126.9
2022-08-01,5180857.43
2022-09-01,5191790.08
2022-10-01,5076643.1
2022-11-01,5203922.02
2022-12-01,5058958.32
2023-01-01,5083652.69
2023-02-01,5284877.49
2023-03-01,4768372.02
2023-04-01,5728386.61
2023-05-01,4999620.69
2023-06-01,5481195.62
2023-07-01,5857319.87
2023-08-01,5353052.8
2023-09-01,5798007.07
2023-10-01,5540703.24
2023-11-01,5549421.75
2023-12-01,4942746.57
2024-01-01,5721477.32
2024-02-01,5509106.38
2024-03-01,5740205.79
2024-04-01,5598593.21
2024-05-01,5390260.12
2024-06-01,5561981.29
2024-07-01,5370556.82
2024-08-01,4896599.08
2024-09-01,5389880.63
2024-10-01,5027647.0
2024-11-01,5689950.4
2024-12-01,4573695.11
2025-01-01,4402951.3
2025-02-01,5202334.27
2025-03-01,5814210.03
2025-04-01,5150757.52
2025-05-01,5415108.0
2025-06-01,5338347.03
2025-07-01,5453809.52
2025-08-01,5030579.46
2025-09-01,5281886.1
2025-10-01,5640515.71
2025-11-01,4644574.89
2025-12-01,5487522.64
2026-01-01,5575703.76
2026-02-01,5783625.59
2026-03-01,5532063.55
2026-04-01,5474856.15
2026-05-01,5146879.75
2026-06-01,5128735.59
