Date,Value
2018-01-01,76755990.69
2018-02-01,70746729.52
2018-03-01,70926570.78
2018-04-01,66741360.74
2018-05-01,69280290.28
2018-06-01,75869604.55
2018-07-01,72528595.58
2018-08-01,72086005.97
2018-09-01,70336813.13
2018-10-01,71605557.41
2018-11-01,71220692.31
2018-12-01,68787353.58
2019-01-01,70420000.86
2019-02-01,69955736.55
2019-03-01,67942366.12
2019-04-01,62920704.23
2019-05-01,68242266.77
2019-06-01,66546836.37
2019-07-01,68189177.16
2019-08-01,69718309.14
2019-09-01,72027683.67
2019-10-01,73263602.86
2019-11-01,75171240.7
2019-12-01,82640640.32
2020-01-01,83117836.44
2020-02-01,84380115.55
2020-03-01,100940713.21
2020-04-01,100669238.65
2020-05-01,99681527.85
2020-06-01,114843297.39
2020-07-01,127243627.1
2020-08-01,120779474.79
2020-09-01,123788698.26
2020-10-01,110693012.97
2020-11-01,108586055.18
2020-12-01,107983161.59
2021-01-01,106053032.32
2021-02-01,92718651.72
2021-03-01,97299290.66
2021-04-01,114872750.49
2021-05-01,104955713.76
2021-06-01,98940415.0
2021-07-01,105291533.66
2021-08-01,108598937.17
2021-09-01,104029529.4
2021-10-01,111140887.7
2021-11-01,108267478.61
2021-12-01,106908371.8
2022-01-01,99642792.93
2022-02-01,102445535.97
2022-03-01,108718939.04
2022-04-01,108013532.52
2022-05-01,109078974.31
2022-06-01,102085261.56
2022-07-01,108884816.22
2022-08-01,115478347.64
2022-09-01,120787824.75
2022-10-01,109487141.95
2022-11-01,112295166.75
2022-12-01,101285662.62
2023-01-01,104911184.07
2023-02-01,115074767.42
2023-03-01,110796932.19
2023-04-01,114102606.99
2023-05-01,108445305.86
2023-06-01,109561694.16
2023-07-01,113987080.45
2023-08-01,110692392.85
2023-09-01,116561325.65
2023-10-01,106530377.84
2023-11-01,102427421.53
2023-12-01,93148900.11
2024-01-01,102022655.76
2024-02-01,102045815.42
2024-03-01,102023297.24
2024-04-01,108974151.2
2024-05-01,111265603.81
2024-06-01,106878955.07
2024-07-01,109204894.9
2024-08-01,109304045.85
2024-09-01,98802545.67
2024-10-01,100269394.56
2024-11-01,103316922.72
2024-12-01,95587811.72
2025-01-01,85163840.62
2025-02-01,94028651.79
2025-03-01,107767812.86
2025-04-01,108895606.86
2025-05-01,107898123.03
2025-06-01,106908255.26
2025-07-01,112209188.08
2025-08-01,103509977.47
2025-09-01,103401650.27
2025-10-01,121300687.22
2025-11-01,115579156.57
2025-12-01,109803454.88
2026-01-01,115799973.46
2026-02-01,125800495.62
2026-03-01,117981181.34
2026-04-01,113899312.22
2026-05-01,113259474.01
2026-06-01,107275687.15
