Date,Value
2024-04-01,50206538.95
2024-04-02,51906537.24
2024-04-03,54306537.24
2024-04-04,52067784.01
2024-04-05,46480383.01
2024-04-06,49647503.29
2024-04-07,49347503.29
2024-04-08,45465051.87
2024-04-09,45672053.44
2024-04-10,43775320.07
2024-04-11,46089606.11
2024-04-12,41590524.43
2024-04-13,41590524.43
2024-04-14,40790522.22
2024-04-15,40705271.31
2024-04-16,40405271.31
2024-04-17,39155272.43
2024-04-18,34655272.43
2024-04-19,39951418.980000004
2024-04-20,41376969.22
2024-04-21,41676969.22
2024-04-22,42990677.61
2024-04-23,47600892.41
2024-04-24,48008810.59
2024-04-25,50408810.59
2024-04-26,46500714.41
2024-04-27,46805556.37
2024-04-28,46205556.37
2024-04-29,44810377.26
2024-04-30,41783780.04
2024-05-01,46195950.32
2024-05-02,46164099.91
2024-05-03,42974097.31
2024-05-04,45103568.980000004
2024-05-05,37946912.07
2024-05-06,42590728.59
2024-05-07,43245946.83
2024-05-08,43143016.45
2024-05-09,40486277.78
2024-05-10,40405058.63
2024-05-11,43592294.91
2024-05-12,42575241.53
2024-05-13,43099077.019999996
2024-05-14,43448047.1
2024-05-15,45113285.53
2024-05-16,45659460.91
2024-05-17,44731578.18
2024-05-18,45586160.65
2024-05-19,43298281.63
2024-05-20,43226534.96
2024-05-21,46115409.31
2024-05-22,46447259.72
2024-05-23,43553495.81
2024-05-24,44015894.82
2024-05-25,41933659.62
2024-05-26,42345048.26
2024-05-27,43891804.34
2024-05-28,45362868.83
2024-05-29,46735867.69
2024-05-30,43024479.05
2024-05-31,47590161.16
2024-06-01,44890161.16
2024-06-02,42659845.29
2024-06-03,44159845.29
2024-06-04,43515284.69
2024-06-05,42615284.69
2024-06-06,44857746.54
2024-06-07,43575231.71
2024-06-08,43069626.47
2024-06-09,41985406.94
2024-06-10,43122669.65
2024-06-11,40722669.65
2024-06-12,39619004.38
2024-06-13,38452079.76
2024-06-14,40051119.11
2024-06-15,40431124.31
2024-06-16,40007123.42
2024-06-17,39018697.35
2024-06-18,40727797.0
2024-06-19,40305148.04
2024-06-20,38505148.04
2024-06-21,41602082.7
2024-06-22,39630559.56
2024-06-23,42930560.74
2024-06-24,43599251.769999996
2024-06-25,44753453.29
2024-06-26,44470643.33
2024-06-27,46572808.21
2024-06-28,46872808.21
2024-06-29,49027968.64
2024-06-30,45217311.49
2024-07-01,47143724.12
2024-07-02,44569306.49
2024-07-03,43896979.94
2024-07-04,43844849.980000004
2024-07-05,43618890.9
2024-07-06,39781016.55
2024-07-07,42046214.51
2024-07-08,42456985.57
2024-07-09,44140631.89
2024-07-10,43451289.04
2024-07-11,44606301.93
2024-07-12,45132936.4
2024-07-13,44330575.51
2024-07-14,46130575.51
2024-07-15,47180577.3
2024-07-16,49580577.3
2024-07-17,47934686.3
2024-07-18,48647148.12
2024-07-19,50447148.12
2024-07-20,52644142.09
2024-07-21,53149041.67
2024-07-22,54649041.67
2024-07-23,53890622.6
2024-07-24,54068768.91
2024-07-25,52268768.91
2024-07-26,50419215.4
2024-07-27,53014531.71
2024-07-28,53510571.35
2024-07-29,53907512.29
2024-07-30,49863518.47
2024-07-31,47097535.98
2024-08-01,48156929.64
2024-08-02,46956929.64
2024-08-03,44382263.980000004
2024-08-04,42812234.38
2024-08-05,46112234.38
2024-08-06,47012234.38
2024-08-07,43651174.11
2024-08-08,44251174.11
2024-08-09,42579307.75
2024-08-10,39038740.18
2024-08-11,44683419.75
2024-08-12,43783419.75
2024-08-13,44283934.99
2024-08-14,45783934.99
2024-08-15,43383934.99
2024-08-16,41723051.83
2024-08-17,41940051.480000004
2024-08-18,45659081.06
2024-08-19,48469532.519999996
2024-08-20,50239037.16
2024-08-21,47839037.16
2024-08-22,46095772.44
2024-08-23,44454191.51
2024-08-24,43199518.1
2024-08-25,42599518.1
2024-08-26,48568979.88
2024-08-27,49150205.99
2024-08-28,46975593.74
2024-08-29,45127123.269999996
2024-08-30,45939935.46
2024-08-31,44123616.12
2024-09-01,44193816.71
2024-09-02,45753353.35
2024-09-03,46727965.6
2024-09-04,46075318.7
2024-09-05,45414557.96
2024-09-06,47370317.66
2024-09-07,44070317.66
2024-09-08,48651560.42
2024-09-09,49166342.16
2024-09-10,50885838.87
2024-09-11,54485838.87
2024-09-12,53894859.65
2024-09-13,48184545.54
2024-09-14,46941923.4
2024-09-15,46849161.28
2024-09-16,51768969.6
2024-09-17,53386060.72
2024-09-18,53383525.47
2024-09-19,53325312.08
2024-09-20,52218777.48
2024-09-21,53118777.48
2024-09-22,54972403.22
2024-09-23,52295271.78
2024-09-24,55595271.78
2024-09-25,54095271.78
2024-09-26,49740694.92
2024-09-27,51240694.92
2024-09-28,54540694.92
2024-09-29,54540694.92
2024-09-30,55440694.92
2024-10-01,60540694.92
2024-10-02,57699746.55
2024-10-03,55466119.52
2024-10-04,52307496.76
2024-10-05,48625969.43
2024-10-06,48424866.48
2024-10-07,49024866.48
2024-10-08,49674890.53
2024-10-09,52974890.53
2024-10-10,55853317.52
2024-10-11,54953317.52
2024-10-12,49747774.49
2024-10-13,47670777.53
2024-10-14,50448264.09
2024-10-15,49681897.41
2024-10-16,51481897.41
2024-10-17,49981897.41
2024-10-18,49381897.41
2024-10-19,47177901.68
2024-10-20,49062167.47
2024-10-21,51462167.47
2024-10-22,49138944.83
2024-10-23,48877200.65
2024-10-24,54992341.93
2024-10-25,49892341.93
2024-10-26,50931355.42
2024-10-27,51235814.89
2024-10-28,55165891.53
2024-10-29,57098953.64
2024-10-30,57408720.53
2024-10-31,58856548.9
2024-11-01,55256548.9
2024-11-02,54584856.46
2024-11-03,54674386.82
2024-11-04,58274386.82
2024-11-05,57411807.269999996
2024-11-06,52333142.31
