Date,Value
2018-01-01,329796.3636363636
2018-02-01,343461.0526315789
2018-03-01,446495.2380952381
2018-04-01,432611.4285714286
2018-05-01,366217.1428571429
2018-06-01,330726.0
2018-07-01,363365.4545454545
2018-08-01,334000.0
2018-09-01,327204.0
2018-10-01,309361.7391304348
2018-11-01,381070.4761904762
2018-12-01,585447.5
2019-01-01,593852.7272727273
2019-02-01,441762.2222222223
2019-03-01,435980.9523809524
2019-04-01,471428.5714285714
2019-05-01,382476.1904761905
2019-06-01,459600.0
2019-07-01,430133.9130434783
2019-08-01,430900.0
2019-09-01,475720.0
2019-10-01,494254.5454545455
2019-11-01,533980.9523809524
2019-12-01,595811.7647058824
2020-01-01,527333.3333333334
2020-02-01,442740.0
2020-03-01,637981.8181818182
2020-04-01,710514.2857142857
2020-05-01,523733.3333333333
2020-06-01,297418.1818181818
2020-07-01,247009.5238095238
2020-08-01,300998.0
2020-09-01,281603.6363636364
2020-10-01,302058.1818181818
2020-11-01,275502.8571428572
2020-12-01,396155.5555555556
2021-01-01,309436.0
2021-02-01,283273.6842105263
2021-03-01,396975.652173913
2021-04-01,399371.4285714286
2021-05-01,352738.9473684211
2021-06-01,267789.0909090909
2021-07-01,237493.3333333333
2021-08-01,510278.0952380953
2021-09-01,369598.1818181818
2021-10-01,387005.7142857143
2021-11-01,367998.0952380953
2021-12-01,504482.2222222223
2022-01-01,446668.5714285714
2022-02-01,445031.1111111111
2022-03-01,725180.8695652174
2022-04-01,889226.0
2022-05-01,893968.4210526316
2022-06-01,1551607.272727273
2022-07-01,1398218.0
2022-08-01,1184498.181818182
2022-09-01,1680227.272727273
2022-10-01,1155400.0
2022-11-01,1334221.818181818
2022-12-01,1586400.0
2023-01-01,915872.380952381
2023-02-01,974870.0
2023-03-01,663271.304347826
2023-04-01,1066728.421052632
2023-05-01,862054.5454545454
2023-06-01,563000.0
2023-07-01,640906.6666666666
2023-08-01,763100.0
2023-09-01,877652.0
2023-10-01,910476.3636363636
2023-11-01,597672.380952381
2023-12-01,808212.5
2024-01-01,1042076.363636364
2024-02-01,1463758.0
2024-03-01,1092714.0
2024-04-01,882805.7142857143
2024-05-01,935131.4285714284
2024-06-01,1122040.0
2024-07-01,731836.5217391305
2024-08-01,592805.7142857143
2024-09-01,531278.0952380953
2024-10-01,541972.7272727273
2024-11-01,540929.5238095238
2024-12-01,486736.4705882353
2025-01-01,595692.0
2025-02-01,628546.0
2025-03-01,631150.0
2025-04-01,537165.7142857143
2025-05-01,541192.0
2025-06-01,670264.7619047619
2025-07-01,657987.8260869565
2025-08-01,625108.5714285715
2025-09-01,728583.6363636364
2025-10-01,615229.0909090909
2025-11-01,634340.0
2025-12-01,849102.2222222222
2026-01-01,785805.7142857143
2026-02-01,755182.2222222222
2026-03-01,849067.2727272727
2026-04-01,884824.7619047619
2026-05-01,778012.6315789474
2026-06-01,689992.0
