Unnamed: 0,Date,TENOR_DATE,CURVE_NAME,CURVE_TYPE,UOM,Value,DAYS_TO_EXPIRY,TENOR_YEAR,DAYS_TO_EXPIRY_MASK
7913,2018-01-02,2018-01-02,TC5,SPOT,WS,99.58,30,2018,0
7912,2018-01-03,2018-01-03,TC5,SPOT,WS,98.75,30,2018,0
7911,2018-01-04,2018-01-04,TC5,SPOT,WS,96.23,30,2018,0
7910,2018-01-05,2018-01-05,TC5,SPOT,WS,95.18,30,2018,0
7909,2018-01-08,2018-01-08,TC5,SPOT,WS,94.0,30,2018,0
7908,2018-01-09,2018-01-09,TC5,SPOT,WS,92.0,30,2018,0
7907,2018-01-10,2018-01-10,TC5,SPOT,WS,90.61,30,2018,0
7906,2018-01-11,2018-01-11,TC5,SPOT,WS,88.83,30,2018,0
7905,2018-01-12,2018-01-12,TC5,SPOT,WS,88.83,30,2018,0
7904,2018-01-15,2018-01-15,TC5,SPOT,WS,89.28,30,2018,0
7903,2018-01-16,2018-01-16,TC5,SPOT,WS,89.78,30,2018,0
7902,2018-01-17,2018-01-17,TC5,SPOT,WS,89.11,30,2018,0
7901,2018-01-18,2018-01-18,TC5,SPOT,WS,88.33,30,2018,0
7900,2018-01-19,2018-01-19,TC5,SPOT,WS,87.61,30,2018,0
7899,2018-01-22,2018-01-22,TC5,SPOT,WS,90.93999999999998,30,2018,0
7898,2018-01-23,2018-01-23,TC5,SPOT,WS,89.83,30,2018,0
7897,2018-01-24,2018-01-24,TC5,SPOT,WS,90.56000000000002,30,2018,0
7896,2018-01-25,2018-01-25,TC5,SPOT,WS,90.56000000000002,30,2018,0
7895,2018-01-26,2018-01-26,TC5,SPOT,WS,91.11,30,2018,0
7894,2018-01-29,2018-01-29,TC5,SPOT,WS,93.04000000000002,30,2018,0
7893,2018-01-30,2018-01-30,TC5,SPOT,WS,95.28,30,2018,0
7892,2018-01-31,2018-01-31,TC5,SPOT,WS,95.89,30,2018,0
7891,2018-02-01,2018-02-01,TC5,SPOT,WS,96.67,27,2018,0
7890,2018-02-02,2018-02-02,TC5,SPOT,WS,98.83,27,2018,0
7889,2018-02-05,2018-02-05,TC5,SPOT,WS,99.06,27,2018,0
7888,2018-02-06,2018-02-06,TC5,SPOT,WS,99.89,27,2018,0
7887,2018-02-07,2018-02-07,TC5,SPOT,WS,102.67,27,2018,0
7886,2018-02-08,2018-02-08,TC5,SPOT,WS,105.17,27,2018,0
7885,2018-02-09,2018-02-09,TC5,SPOT,WS,105.0,27,2018,0
7884,2018-02-12,2018-02-12,TC5,SPOT,WS,105.28,27,2018,0
7883,2018-02-13,2018-02-13,TC5,SPOT,WS,104.72,27,2018,0
7882,2018-02-14,2018-02-14,TC5,SPOT,WS,106.39,27,2018,0
7881,2018-02-15,2018-02-15,TC5,SPOT,WS,107.5,27,2018,0
7880,2018-02-16,2018-02-16,TC5,SPOT,WS,108.33,27,2018,0
7879,2018-02-19,2018-02-19,TC5,SPOT,WS,108.17,27,2018,0
7878,2018-02-20,2018-02-20,TC5,SPOT,WS,109.17,27,2018,0
7877,2018-02-21,2018-02-21,TC5,SPOT,WS,110.56,27,2018,0
7876,2018-02-22,2018-02-22,TC5,SPOT,WS,114.72,27,2018,0
7875,2018-02-23,2018-02-23,TC5,SPOT,WS,115.0,27,2018,0
7874,2018-02-26,2018-02-26,TC5,SPOT,WS,114.44,27,2018,0
