Unnamed: 0,Date,TENOR_DATE,CURVE_NAME,CURVE_TYPE,UOM,Value,DAYS_TO_EXPIRY,TENOR_YEAR,DAYS_TO_EXPIRY_MASK
2089,2018-01-02,2018-01-02,TC7,SPOT,USD_MT,24.123308,30,2018,0
2088,2018-01-03,2018-01-03,TC7,SPOT,USD_MT,23.871966,30,2018,0
2087,2018-01-04,2018-01-04,TC7,SPOT,USD_MT,23.399664,30,2018,0
2086,2018-01-05,2018-01-05,TC7,SPOT,USD_MT,23.008841,30,2018,0
2085,2018-01-08,2018-01-08,TC7,SPOT,USD_MT,22.778214,30,2018,0
2084,2018-01-09,2018-01-09,TC7,SPOT,USD_MT,22.702259,30,2018,0
2083,2018-01-10,2018-01-10,TC7,SPOT,USD_MT,22.568302,30,2018,0
2082,2018-01-11,2018-01-11,TC7,SPOT,USD_MT,22.629066,30,2018,0
2081,2018-01-12,2018-01-12,TC7,SPOT,USD_MT,22.624923,30,2018,0
2080,2018-01-15,2018-01-15,TC7,SPOT,USD_MT,22.693973,30,2018,0
2079,2018-01-16,2018-01-16,TC7,SPOT,USD_MT,22.7865,30,2018,0
2078,2018-01-17,2018-01-17,TC7,SPOT,USD_MT,22.948077,30,2018,0
2077,2018-01-18,2018-01-18,TC7,SPOT,USD_MT,23.116559,30,2018,0
2076,2018-01-19,2018-01-19,TC7,SPOT,USD_MT,23.13175,30,2018,0
2075,2018-01-22,2018-01-22,TC7,SPOT,USD_MT,23.116559,30,2018,0
2074,2018-01-23,2018-01-23,TC7,SPOT,USD_MT,23.116559,30,2018,0
2073,2018-01-24,2018-01-24,TC7,SPOT,USD_MT,23.151084,30,2018,0
2072,2018-01-25,2018-01-25,TC7,SPOT,USD_MT,22.948077,30,2018,0
2071,2018-01-26,2018-01-26,TC7,SPOT,USD_MT,22.771309,30,2018,0
2070,2018-01-29,2018-01-29,TC7,SPOT,USD_MT,22.571064,30,2018,0
2069,2018-01-30,2018-01-30,TC7,SPOT,USD_MT,22.548968,30,2018,0
2068,2018-01-31,2018-01-31,TC7,SPOT,USD_MT,22.5103,30,2018,0
2067,2018-02-01,2018-02-01,TC7,SPOT,USD_MT,22.495109,27,2018,0
2066,2018-02-02,2018-02-02,TC7,SPOT,USD_MT,22.467489,27,2018,0
2065,2018-02-05,2018-02-05,TC7,SPOT,USD_MT,22.457822,27,2018,0
2064,2018-02-06,2018-02-06,TC7,SPOT,USD_MT,22.334913,27,2018,0
2063,2018-02-07,2018-02-07,TC7,SPOT,USD_MT,22.30315,27,2018,0
2062,2018-02-08,2018-02-08,TC7,SPOT,USD_MT,22.357009,27,2018,0
2061,2018-02-09,2018-02-09,TC7,SPOT,USD_MT,22.363914,27,2018,0
2060,2018-02-12,2018-02-12,TC7,SPOT,USD_MT,22.402582,27,2018,0
2059,2018-02-13,2018-02-13,TC7,SPOT,USD_MT,22.529634,27,2018,0
2058,2018-02-14,2018-02-14,TC7,SPOT,USD_MT,22.564159,27,2018,0
2057,2018-02-15,2018-02-15,TC7,SPOT,USD_MT,22.633209,27,2018,0
2056,2018-02-19,2018-02-19,TC7,SPOT,USD_MT,22.687068,27,2018,0
2055,2018-02-20,2018-02-20,TC7,SPOT,USD_MT,22.702259,27,2018,0
2054,2018-02-21,2018-02-21,TC7,SPOT,USD_MT,22.747832,27,2018,0
2053,2018-02-22,2018-02-22,TC7,SPOT,USD_MT,22.879027,27,2018,0
